Temps,Consigne,Ecart,I moteur,vitesse
s,mm/s,mm/s,mA,mm/s
3.270,0.000,0.132,1.465,-0.264
3.280,0.000,0.264,9.766,1.056
3.290,0.000,-1.056,7.813,-0.396
3.300,0.000,0.396,-8.301,-0.132
3.310,0.000,0.132,-15.625,0.000
3.320,0.000,0.000,-6.348,0.000
3.330,0.000,0.000,13.672,0.000
3.340,0.000,0.000,-11.230,0.132
3.350,0.000,-0.132,1.953,0.000
3.360,0.000,0.000,16.113,0.132
3.370,0.000,-0.132,-23.438,0.000
3.380,0.000,0.000,-16.602,0.132
3.390,0.000,-0.132,-0.488,0.000
3.400,0.000,0.000,12.695,-0.132
3.410,0.000,0.132,1.465,0.000
3.420,0.000,0.000,-8.301,0.000
3.430,0.000,0.000,13.184,0.000
3.440,0.000,0.000,-3.418,0.396
3.450,0.000,-0.396,0.000,-0.132
3.460,0.000,0.132,-24.902,-0.660
3.470,0.000,0.660,31.250,0.264
3.480,0.000,-0.264,-16.602,0.000
3.490,0.000,0.000,-15.137,0.000
3.500,0.000,0.000,4.883,0.000
3.510,0.000,0.000,11.719,0.000
3.520,0.000,0.000,-30.273,0.000
3.530,0.000,0.000,2.930,0.000
3.540,0.000,0.000,8.789,0.000
3.550,0.000,0.000,12.207,0.000
3.560,0.000,0.000,-13.672,0.000
3.570,0.000,0.000,-5.371,0.000
3.580,0.000,0.000,6.348,0.000
3.590,0.000,0.000,5.859,0.000
3.600,0.000,0.000,-4.883,0.000
3.610,0.000,0.000,0.000,0.000
3.620,0.000,0.000,-2.441,0.924
3.630,0.000,-0.924,-129.883,-0.792
3.640,0.000,0.792,17.090,-0.396
3.650,0.000,0.396,0.000,0.264
3.660,0.000,-0.264,-4.883,0.000
3.670,0.000,0.000,-3.418,0.000
3.680,0.000,0.000,23.926,-0.132
3.690,0.000,0.132,-11.719,0.132
3.700,0.000,-0.132,1.953,0.000
3.710,0.000,0.000,14.160,0.000
3.720,0.000,0.000,-21.484,0.000
3.730,0.000,0.000,1.953,0.000
3.740,0.000,0.000,3.418,0.000
3.750,0.000,0.000,-22.461,0.000
3.760,0.000,0.000,8.301,0.000
3.770,0.000,0.000,11.719,-0.132
3.780,0.000,0.132,-15.137,0.000
3.790,0.000,0.000,0.488,-0.264
3.800,0.000,0.264,-4.883,-0.264
3.810,0.000,0.264,-13.672,0.924
3.820,0.000,-0.924,-5.371,-0.264
3.830,0.000,0.264,-5.371,-0.132
3.840,0.000,0.132,23.926,0.000
3.850,0.000,0.000,-10.254,0.000
3.860,0.000,0.000,-5.371,0.000
3.870,0.000,0.000,-1.465,0.000
3.880,0.000,0.000,-3.418,0.000
3.890,0.000,0.000,23.438,0.000
3.900,0.000,0.000,-20.996,-0.132
3.910,0.000,0.132,3.906,0.000
3.920,0.000,0.000,4.883,0.000
3.930,0.000,0.000,-29.785,0.000
3.940,0.000,0.000,-4.883,0.000
3.950,0.000,0.000,10.254,0.000
3.960,0.000,0.000,-5.859,-0.132
3.970,0.000,0.132,2.441,-0.396
3.980,0.000,0.396,33.691,0.528
3.990,0.000,-0.528,-14.160,0.000
4.000,0.000,0.000,-4.395,-0.132
4.010,0.000,0.132,14.160,0.132
4.020,0.000,-0.132,-29.785,0.132
4.030,0.000,-0.132,9.766,-0.132
4.040,0.000,0.132,3.906,0.000
4.050,0.000,0.000,-9.766,0.132
4.060,0.000,-0.132,17.578,-0.132
4.070,0.000,0.132,-4.883,0.000
4.080,0.000,0.000,-13.184,-0.132
4.090,0.000,0.132,11.719,0.000
4.100,0.000,0.000,12.695,0.000
4.110,0.000,0.000,-15.137,0.000
4.120,0.000,0.000,-8.789,0.000
4.130,0.000,0.000,11.230,0.000
4.140,0.000,0.000,-2.930,0.132
4.150,0.000,-0.132,-4.883,-0.528
4.160,0.000,0.528,29.785,0.000
4.170,0.000,0.000,2.930,0.132
4.180,0.000,-0.132,-21.973,0.000
4.190,0.000,0.000,-6.836,0.000
4.200,0.000,0.000,5.371,0.000
4.210,0.000,0.000,11.230,0.000
4.220,0.000,0.000,-4.883,0.000
4.230,0.000,0.000,-16.602,0.000
4.240,0.000,0.000,14.648,0.000
4.250,0.000,0.000,-9.277,0.000
4.260,0.000,0.000,-20.508,0.132
4.270,0.000,-0.132,5.859,0.000
4.280,0.000,0.000,13.184,0.000
4.290,0.000,0.000,-1.465,0.000
4.300,0.000,0.000,-18.066,0.000
4.310,0.000,0.000,-25.879,-0.132
4.320,0.000,0.132,-13.184,-0.396
4.330,0.000,0.396,8.301,0.264
4.340,0.000,-0.264,11.719,0.264
4.350,0.000,-0.264,3.906,-0.132
4.360,0.000,0.132,-19.043,0.000
4.370,0.000,0.000,9.277,0.000
4.380,0.000,0.000,-0.488,-0.132
4.390,0.000,0.132,-17.090,0.000
4.400,0.000,0.000,11.719,0.000
4.410,0.000,0.000,17.578,0.000
4.420,0.000,0.000,-7.324,0.000
4.430,0.000,0.000,-19.043,0.132
4.440,0.000,-0.132,-5.371,0.000
4.450,0.000,0.000,15.625,0.000
4.460,0.000,0.000,10.254,0.000
4.470,0.000,0.000,-32.227,0.000
4.480,0.000,0.000,16.602,-0.132
4.490,0.000,0.132,-0.488,0.000
4.500,0.000,0.000,-0.488,-0.528
4.510,0.000,0.528,47.363,1.188
4.520,0.000,-1.188,7.324,0.000
4.530,0.000,0.000,-13.184,-0.132
4.540,0.000,0.132,-15.625,0.132
4.550,0.000,-0.132,1.465,0.000
4.560,0.000,0.000,7.813,-0.132
4.570,0.000,0.132,-5.859,0.000
4.580,0.000,0.000,-19.043,0.000
4.590,0.000,0.000,0.000,0.000
4.600,0.000,0.000,11.719,0.000
4.610,0.000,0.000,-27.344,0.000
4.620,0.000,0.000,-2.930,0.000
4.630,0.000,0.000,12.695,0.000
4.640,0.000,0.000,10.742,0.000
4.650,0.000,0.000,-4.883,0.000
4.660,0.000,0.000,22.461,0.000
4.670,0.000,0.000,5.859,0.396
4.680,0.000,-0.396,6.836,0.264
4.690,0.000,-0.264,-20.020,-0.528
4.700,0.000,0.528,7.324,0.132
4.710,0.000,-0.132,16.602,0.000
4.720,0.000,0.000,8.789,0.000
4.730,0.000,0.000,-29.297,0.000
4.740,0.000,0.000,0.000,-0.132
4.750,0.000,0.132,15.137,0.000
4.760,0.000,0.000,-8.789,0.000
4.770,0.000,0.000,-5.859,-0.132
4.780,0.000,0.132,25.391,0.000
4.790,0.000,0.000,-1.953,0.000
4.800,0.000,0.000,-19.043,0.000
4.810,0.000,0.000,1.465,0.000
4.820,0.000,0.000,22.461,0.000
4.830,0.000,0.000,-29.785,0.000
4.840,0.000,0.000,-21.973,0.000
4.850,0.000,0.000,-15.137,0.660
4.860,0.000,-0.660,-93.750,-1.056
4.870,0.000,1.056,9.277,-0.264
4.880,0.000,0.264,1.953,0.264
4.890,0.000,-0.264,3.418,-0.132
4.900,0.000,0.132,23.926,0.000
4.910,0.000,0.000,3.906,0.000
4.920,0.000,0.000,-16.602,0.000
4.930,0.000,0.000,-8.301,0.132
4.940,0.000,-0.132,24.414,-0.132
4.950,0.000,0.132,-25.391,0.132
4.960,0.000,-0.132,13.184,-0.132
4.970,0.000,0.132,9.766,0.000
4.980,0.000,0.000,-19.043,0.000
4.990,0.000,0.000,0.977,0.000
5.000,0.000,0.000,17.578,0.000
5.010,0.000,0.000,-29.785,0.000
5.020,0.000,0.000,6.836,-0.264
5.030,0.000,0.264,1.953,0.000
5.040,0.000,0.000,-13.184,0.924
5.050,0.000,-0.924,-10.742,-0.264
5.060,0.000,0.264,5.859,-0.132
5.070,0.000,0.132,-10.254,0.132
5.080,0.000,-0.132,-15.625,0.000
5.090,0.000,0.000,19.043,0.000
5.100,0.000,0.000,7.324,0.000
5.110,0.000,0.000,-28.809,0.000
5.120,0.000,0.000,23.438,0.000
5.130,0.000,0.000,7.813,0.132
5.140,0.000,-0.132,-13.672,0.000
5.150,0.000,0.000,-0.488,0.000
5.160,0.000,0.000,19.043,0.000
5.170,0.000,0.000,-14.648,0.000
5.180,0.000,0.000,21.484,0.000
5.190,0.000,0.000,16.602,0.000
5.200,0.000,0.000,6.836,0.792
5.210,0.000,-0.792,-18.066,0.264
5.220,0.000,-0.264,6.836,-0.264
5.230,0.000,0.264,-18.555,0.132
5.240,0.000,-0.132,13.672,0.000
5.250,0.000,0.000,9.766,0.000
5.260,0.000,0.000,-4.395,0.000
5.270,0.000,0.000,-19.043,0.000
5.280,0.000,0.000,0.000,0.000
5.290,0.000,0.000,10.742,0.000
5.300,0.000,0.000,-34.668,0.000
5.310,0.000,0.000,17.578,0.000
5.320,0.000,0.000,-5.859,0.000
5.330,0.000,0.000,-18.066,0.000
5.340,0.000,0.000,20.508,0.000
5.350,0.000,0.000,-23.926,0.000
5.360,0.000,0.000,21.484,0.000
5.370,0.000,0.000,-18.555,0.264
5.380,0.000,-0.264,-8.301,-0.264
5.390,0.000,0.264,9.766,-1.320
5.400,0.000,1.320,-4.883,0.396
5.410,0.000,-0.396,12.695,0.000
5.420,0.000,0.000,7.813,0.000
5.430,0.000,0.000,-17.090,0.000
5.440,0.000,0.000,-7.813,0.000
5.450,0.000,0.000,16.113,0.000
5.460,0.000,0.000,-23.438,0.000
5.470,0.000,0.000,-8.301,0.000
5.480,0.000,0.000,4.883,0.000
5.490,0.000,0.000,-15.625,0.000
5.500,0.000,0.000,8.301,0.000
5.510,0.000,0.000,10.742,0.000
5.520,0.000,0.000,-18.555,0.000
5.530,0.000,0.000,8.301,0.000
5.540,0.000,0.000,-12.207,0.000
5.550,0.000,0.000,-11.719,0.000
5.560,0.000,0.000,-12.207,-0.396
5.570,0.000,0.396,20.508,0.396
5.580,0.000,-0.396,-7.324,-0.132
5.590,0.000,0.132,-15.137,0.000
