;;;;;;;;;;;;;;;;;;;;;;;;;;Nacelle NC10...
;500;;;;1000;;;;1500;;;;1850;;;;2000;;;;1800;;;;;- Tableau des résultats -
 n° point;Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);;
77;0,313793;20;0,313793;6,238;0,31358;20;0,31358;12,437;0,315628;20;0,315628;16,429;0,313831;20;0,313831;19,517;0,316669;20;0,316669;21,279;0,3137;20;0,3137;19,185
78;0,317896;20;0,317896;6,174;0,317614;20;0,317614;12,389;0,31973;20;0,31973;16,732;0,31794;20;0,31794;19,813;0,320731;20;0,320731;21,527;0,31771;20;0,31771;19,443
79;0,321978;20;0,321978;6,095;0,321686;20;0,321686;12,28;0,323808;20;0,323808;16,96;0,322041;20;0,322041;20,189;0,324833;20;0,324833;21,821;0,321822;20;0,321822;19,756
80;0,326075;20;0,326075;6,01;0,325787;20;0,325787;12,134;0,327914;20;0,327914;17,161;0,326144;20;0,326144;20,569;0,328909;20;0,328909;22,184;0,325926;20;0,325926;20,043
81;0,330182;20;0,330182;5,931;0,32989;20;0,32989;11,97;0,331994;20;0,331994;17,26;0,330217;20;0,330217;20,951;0,333012;20;0,333012;22,523;0,330053;20;0,330053;20,326
82;0,334325;20;0,334325;5,869;0,333991;20;0,333991;11,798;0,336107;20;0,336107;17,305;0,334334;20;0,334334;21,271;0,337123;20;0,337123;22,832;0,334115;20;0,334115;20,561
83;0,338448;20;0,338448;5,841;0,338069;20;0,338069;11,638;0,340236;20;0,340236;17,238;0,338434;20;0,338434;21,572;0,3412;20;0,3412;23,071;0,338189;20;0,338189;20,748
84;0,342519;20;0,342519;5,845;0,342249;20;0,342249;11,493;0,344287;20;0,344287;17,103;0,342497;20;0,342497;21,784;0,3453;20;0,3453;23,217;0,342293;20;0,342293;20,88
85;0,346553;20;0,346553;5,889;0,346274;20;0,346274;11,386;0,348386;20;0,348386;16,906;0,346621;20;0,346621;21,931;0,349377;20;0,349377;23,266;0,346411;20;0,346411;20,946
86;0,350655;20;0,350655;5,966;0,350377;20;0,350377;11,323;0,352492;20;0,352492;16,679;0,350703;20;0,350703;21,972;0,353486;20;0,353486;23,196;0,350582;20;0,350582;20,947
87;0,354774;20;0,354774;6,068;0,354497;20;0,354497;11,324;0,356588;20;0,356588;16,458;0,35482;20;0,35482;21,922;0,357606;20;0,357606;23,071;0,354677;20;0,354677;20,854
88;0,358836;20;0,358836;6,175;0,358584;20;0,358584;11,392;0,360672;20;0,360672;16,244;0,358908;20;0,358908;21,793;0,361666;20;0,361666;22,864;0,358759;20;0,358759;20,714
89;0,362941;20;0,362941;6,265;0,362666;20;0,362666;11,52;0,364757;20;0,364757;16,102;0,363032;20;0,363032;21,586;0,365749;20;0,365749;22,638;0,362827;20;0,362827;20,517
90;0,367022;20;0,367022;6,323;0,366769;20;0,366769;11,688;0,368867;20;0,368867;15,993;0,367103;20;0,367103;21,359;0,369873;20;0,369873;22,389;0,366872;20;0,366872;20,312
91;0,371121;20;0,371121;6,335;0,370829;20;0,370829;11,869;0,373002;20;0,373002;15,97;0,371206;20;0,371206;21,108;0,37397;20;0,37397;22,176;0,370977;20;0,370977;20,099
92;0,37527;20;0,37527;6,296;0,374928;20;0,374928;12,036;0,377051;20;0,377051;15,994;0,375284;20;0,375284;20,891;0,378049;20;0,378049;22;0,375057;20;0,375057;19,924
93;0,379391;20;0,379391;6,21;0,379048;20;0,379048;12,159;0,381159;20;0,381159;16,085;0,379391;20;0,379391;20,69;0,382152;20;0,382152;21,884;0,379183;20;0,379183;19,8
94;0,383501;20;0,383501;6,1;0,383152;20;0,383152;12,234;0,385233;20;0,385233;16,21;0,383493;20;0,383493;20,557;0,386257;20;0,386257;21,851;0,383268;20;0,383268;19,73
95;0,387599;20;0,387599;5,984;0,387233;20;0,387233;12,245;0,389337;20;0,389337;16,356;0,387598;20;0,387598;20,472;0,390334;20;0,390334;21,898;0,387343;20;0,387343;19,721
96;0,391665;20;0,391665;5,883;0,391317;20;0,391317;12,201;0,393443;20;0,393443;16,506;0,391683;20;0,391683;20,459;0,394436;20;0,394436;22,03;0,391448;20;0,391448;19,757
97;0,395773;20;0,395773;5,813;0,395422;20;0,395422;12,105;0,397543;20;0,397543;16,627;0,395789;20;0,395789;20,503;0,398516;20;0,398516;22,192;0,39555;20;0,39555;19,85
98;0,399814;20;0,399814;5,79;0,399542;20;0,399542;11,977;0,401686;20;0,401686;16,723;0,399955;20;0,399955;20,583;0,402738;20;0,402738;22,395;0,399627;20;0,399627;19,949
99;0,403892;20;0,403892;5,81;0,403672;20;0,403672;11,83;0,405731;20;0,405731;16,75;0,404032;20;0,404032;20,701;0,406796;20;0,406796;22,581;0,403731;20;0,403731;20,064
100;0,407998;20;0,407998;5,869;0,40778;20;0,40778;11,682;0,409802;20;0,409802;16,739;0,408137;20;0,408137;20,81;0,410874;20;0,410874;22,738;0,407807;20;0,407807;20,16
101;0,412101;20;0,412101;5,952;0,41182;20;0,41182;11,548;0,413905;20;0,413905;16,663;0,412179;20;0,412179;20,917;0,414978;20;0,414978;22,827;0,411914;20;0,411914;20,239
102;0,416179;20;0,416179;6,05;0,415923;20;0,415923;11,437;0,41802;20;0,41802;16,563;0,416252;20;0,416252;20,982;0,418998;20;0,418998;22,852;0,416046;20;0,416046;20,277
103;0,420293;20;0,420293;6,146;0,420011;20;0,420011;11,373;0,422099;20;0,422099;16,434;0,420361;20;0,420361;21,024;0,423093;20;0,423093;22,809;0,420106;20;0,420106;20,268
104;0,424373;20;0,424373;6,227;0,424099;20;0,424099;11,354;0,4262;20;0,4262;16,311;0,424459;20;0,424459;21,02;0,427171;20;0,427171;22,692;0,424227;20;0,424227;20,226
105;0,428544;20;0,428544;6,281;0,428229;20;0,428229;11,393;0,430291;20;0,430291;16,209;0,428595;20;0,428595;20,99;0,43128;20;0,43128;22,534;0,428295;20;0,428295;20,147
106;0,432641;20;0,432641;6,3;0,432286;20;0,432286;11,481;0,434403;20;0,434403;16,133;0,432655;20;0,432655;20,937;0,433305;20;0,433305;22,35;0,432428;20;0,432428;20,056
107;0,436722;20;0,436722;6,282;0,436405;20;0,436405;11,613;0,438494;20;0,438494;16,106;0,436754;20;0,436754;20,875;0,436279;20;0,436279;22,188;0,436526;20;0,436526;19,952
108;0,440761;20;0,440761;6,226;0,44047;20;0,44047;11,767;0,442573;20;0,442573;16,113;0,440873;20;0,440873;20,82;0,439456;20;0,439456;22,045;0,440583;20;0,440583;19,88
109;0,444862;20;0,444862;6,145;0,444572;20;0,444572;11,927;0,446676;20;0,446676;16,178;0,445014;20;0,445014;20,768;0,44356;20;0,44356;21,958;0,444687;20;0,444687;19,832
110;0,448937;20;0,448937;6,054;0,448653;20;0,448653;12,073;0,450779;20;0,450779;16,265;0,449122;20;0,449122;20,745;0,447684;20;0,447684;21,931;0,448792;20;0,448792;19,824
111;0,453045;20;0,453045;5,969;0,45276;20;0,45276;12,184;0,454878;20;0,454878;16,385;0,453224;20;0,453224;20,735;0,451831;20;0,451831;21,967;0,452896;20;0,452896;19,852
112;0,457144;20;0,457144;5,903;0,45688;20;0,45688;12,252;0,458985;20;0,458985;16,506;0,457339;20;0,457339;20,758;0,455956;20;0,455956;22,051;0,457059;20;0,457059;19,917
113;0,461254;20;0,461254;5,868;0,460964;20;0,460964;12,264;0,463039;20;0,463039;16,627;0,461334;20;0,461334;20,796;0,460025;20;0,460025;22,172;0,46116;20;0,46116;20,003
114;0,465337;20;0,465337;5,867;0,465059;20;0,465059;12,221;0,467174;20;0,467174;16,723;0,465443;20;0,465443;20,861;0,464102;20;0,464102;22,321;0,465242;20;0,465242;20,092
115;0,469493;20;0,469493;5,895;0,469157;20;0,469157;12,127;0,471233;20;0,471233;16,788;0,469597;20;0,469597;20,935;0,468151;20;0,468151;22,467;0,469339;20;0,469339;20,186
116;0,473602;20;0,473602;5,944;0,473243;20;0,473243;12,001;0,475338;20;0,475338;16,818;0,47363;20;0,47363;21,013;0,472226;20;0,472226;22,609;0,473445;20;0,473445;20,264
117;0,477707;20;0,477707;6,001;0,477347;20;0,477347;11,853;0,479416;20;0,479416;16,796;0,477732;20;0,477732;21,085;0,476334;20;0,476334;22,715;0,477524;20;0,477524;20,331
118;0,481787;20;0,481787;6,056;0,481523;20;0,481523;11,704;0,483518;20;0,483518;16,74;0,481814;20;0,481814;21,136;0,480436;20;0,480436;22,794;0,481629;20;0,481629;20,365
119;0,485907;20;0,485907;6,101;0,48553;20;0,48553;11,568;0,487624;20;0,487624;16,642;0,485917;20;0,485917;21,166;0,484515;20;0,484515;22,823;0,485715;20;0,485715;20,378
120;0,489988;20;0,489988;6,132;0,489636;20;0,489636;11,463;0,491701;20;0,491701;16,531;0,490082;20;0,490082;21,158;0,488672;20;0,488672;22,8;0,48974;20;0,48974;20,358
121;0,494015;20;0,494015;6,148;0,493736;20;0,493736;11,399;0,495866;20;0,495866;16,407;0,494162;20;0,494162;21,126;0,492703;20;0,492703;22,729;0,493808;20;0,493808;20,307
122;0,498119;20;0,498119;6,154;0,497815;20;0,497815;11,383;0,499908;20;0,499908;16,296;0,498266;20;0,498266;21,062;0,496884;20;0,496884;22,624;0,497937;20;0,497937;20,232
123;0,502252;20;0,502252;6,146;0,501919;20;0,501919;11,423;0,503986;20;0,503986;16,203;0,502345;20;0,502345;20,99;0,500983;20;0,500983;22,5;0,502134;20;0,502134;20,144
124;0,506306;20;0,506306;6,134;0,506018;20;0,506018;11,505;0,50601;20;0,50601;16,145;0,5064;20;0,5064;20,911;0,505063;20;0,505063;22,368;0,506112;20;0,506112;20,057
125;0,510409;20;0,510409;6,119;0,510122;20;0,510122;11,622;0,508989;20;0,508989;16,126;0,510488;20;0,510488;20,84;0,509169;20;0,509169;22,257;0,510207;20;0,510207;19,972
126;0,514493;20;0,514493;6,101;0,51423;20;0,51423;11,754;0,512173;20;0,512173;16,144;0,514592;20;0,514592;20,785;0,513272;20;0,513272;22,172;0,514284;20;0,514284;19,911
127;0,518599;20;0,518599;6,08;0,51829;20;0,51829;11,886;0,516276;20;0,516276;16,205;0,518674;20;0,518674;20,747;0,517349;20;0,517349;22,129;0,518404;20;0,518404;19,871
128;0,522697;20;0,522697;6,056;0,522407;20;0,522407;12;0,520357;20;0,520357;16,289;0,52278;20;0,52278;20,732;0,521452;20;0,521452;22,118;0,522504;20;0,522504;19,866
129;0,526801;20;0,526801;6,029;0,526574;20;0,526574;12,087;0,524465;20;0,524465;16,395;0,526884;20;0,526884;20,738;0,525547;20;0,525547;22,152;0,526582;20;0,526582;19,884
130;0,53088;20;0,53088;6,005;0,530652;20;0,530652;12,138;0,528574;20;0,528574;16,496;0,530964;20;0,530964;20,772;0,529564;20;0,529564;22,217;0,530686;20;0,530686;19,933
131;0,534984;20;0,534984;5,984;0,534682;20;0,534682;12,143;0,53271;20;0,53271;16,589;0,535082;20;0,535082;20,817;0,533672;20;0,533672;22,303;0,534762;20;0,534762;20
132;0,539086;20;0,539086;5,971;0,538787;20;0,538787;12,106;0,536814;20;0,536814;16,655;0,539221;20;0,539221;20,879;0,537759;20;0,537759;22,396;0,538868;20;0,538868;20,076
