;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nacelle NC10...;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;- Tableau des résultats -;;;
 n° point;Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés); n° point;Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés)
22;0,091393;1,416;0,091393;1,583;0,092677;2,75;0,092677;2,618;0,088293;4,477;0,088293;5,559;0,092702;4,978;0,092702;6,176;0,088567;3,965;0,088567;6,233;0,089156;1,671;0,089156;4,94;0,0886;-2,697;0,0886;2,52;0,088317;-3,349;0,088317;-6,823;0,092753;4,212;0,092753;-9,498;0,088549;3,806;0,088549;-7,207;22;0,091728;-4,311;0,091728;0,078
23;0,095483;1,477;0,095483;1,667;0,096773;2,856;0,096773;2,708;0,092367;4,585;0,092367;5,574;0,096802;4,93;0,096802;5,873;0,092725;3,625;0,092725;5,575;0,092679;1,14;0,092679;4,018;0,092703;-3,377;0,092703;0,775;0,092438;-2,287;0,092438;-8,958;0,096857;4,848;0,096857;-10,11;0,092644;2,262;0,092644;-6,038;23;0,095797;-2,52;0,095797;0,991
24;0,099607;1,539;0,099607;1,737;0,100869;2,961;0,100869;2,781;0,096471;4,682;0,096471;5,517;0,100882;4,856;0,100882;5,575;0,096757;3,258;0,096757;4,945;0,097146;0,448;0,097146;3,104;0,096785;-3,955;0,096785;-0,989;0,096532;-1,081;0,096532;-10,601;0,10096;4,986;0,10096;-9,944;0,096736;0,369;0,096736;-4,31;24;0,099901;-0,062;0,099901;1,355
25;0,103683;1,6;0,103683;1,795;0,104946;3,063;0,104946;2,858;0,100576;4,766;0,100576;5,42;0,104986;4,756;0,104986;5,327;0,100863;2,851;0,100863;4,39;0,10085;-0,133;0,10085;2,2;0,100917;-4,423;0,100917;-2,815;0,100606;0,19;0,100606;-11,633;0,105057;4,611;0,105057;-9,095;0,100835;-1,584;0,100835;-2,084;25;0,10398;2,398;0,10398;1,143
26;0,107783;1,661;0,107783;1,844;0,109107;3,165;0,109107;2,938;0,104681;4,838;0,104681;5,313;0,109063;4,63;0,109063;5,147;0,104967;2,412;0,104967;3,929;0,105136;-0,803;0,105136;1,331;0,104992;-4,755;0,104992;-4,539;0,104708;1,458;0,104708;-11,937;0,109142;3,766;0,109142;-7,647;0,104939;-3,293;0,104939;0,254;26;0,108084;4,25;0,108084;0,464
27;0,111871;1,721;0,111871;1,883;0,113137;3,262;0,113137;3,027;0,108759;4,896;0,108759;5,228;0,113193;4,478;0,113193;5,058;0,109042;1,952;0,109042;3,555;0,109062;-1,404;0,109062;0,497;0,109075;-4,949;0,109075;-6,118;0,108817;2,631;0,108817;-11,587;0,113263;2,524;0,113263;-5,589;0,109022;-4,487;0,109022;2,396;27;0,112201;4,996;0,112201;-0,419
28;0,115969;1,782;0,115969;1,911;0,117242;3,359;0,117242;3,129;0,112869;4,942;0,112869;5,193;0,117271;4,303;0,117271;5,054;0,113152;1,467;0,113152;3,244;0,113176;-2,011;0,113176;-0,27;0,113198;-4,998;0,113198;-7,4;0,112899;3,623;0,112899;-10,591;0,117357;1,03;0,117357;-3,105;0,113131;-4,991;0,113131;3,993;28;0,116275;4,448;0,116275;-1,328
29;0,120071;1,842;0,120071;1,924;0,121348;3,453;0,121348;3,24;0,116958;4,974;0,116958;5,208;0,121386;4,103;0,121386;5,138;0,117256;0,967;0,117256;2,986;0,117249;-2,579;0,117249;-1,013;0,117267;-4,901;0,117267;-8,392;0,116978;4,378;0,116978;-9,062;0,12143;-0,56;0,12143;-0,308;0,117207;-4,723;0,117207;5,009;29;0,120388;2,738;0,120388;-1,866
30;0,12415;1,901;0,12415;1,946;0,125429;3,545;0,125429;3,37;0,121125;4,994;0,121125;5,267;0,125465;3,883;0,125465;5,261;0,121333;0,46;0,121333;2,749;0,121355;-3,108;0,121355;-1,756;0,121366;-4,659;0,121366;-9,018;0,121081;4,849;0,121081;-7,021;0,125587;-2,124;0,125587;2,59;0,121314;-3,722;0,121314;5,37;30;0,124553;0,281;0,124553;-1,94
31;0,128324;1,962;0,128324;1,976;0,129532;3,635;0,129532;3,505;0,125158;5;0,125158;5,36;0,129566;3,641;0,129566;5,392;0,125435;-0,055;0,125435;2,507;0,125437;-3,584;0,125437;-2,526;0,125469;-4,28;0,125469;-9,313;0,125192;5;0,125192;-4,512;0,12962;-3,429;0,12962;5,351;0,125431;-2,137;0,125431;4,949;31;0,128579;-2,174;0,128579;-1,399
