Temps,Sortie Reg.,I moteur,position,accélération,vitesse
s,mA,mA,mm,mm/s²,mm/s
1.690,199.707,123.535,152.159,2.703,104.006
1.700,199.707,124.023,153.168,-10.813,103.874
1.710,199.707,131.836,154.181,-5.407,103.610
1.720,199.707,130.859,155.191,-8.110,103.742
1.730,199.707,130.859,156.200,-5.407,103.610
1.740,199.707,129.883,157.211,-2.703,103.610
1.750,199.707,134.277,158.222,-10.813,103.478
1.760,199.707,139.160,159.231,0.000,103.478
1.770,199.707,142.090,160.238,-8.110,103.346
1.780,199.707,142.090,161.246,-5.407,103.214
1.790,199.707,138.184,162.253,-5.407,103.346
1.800,199.707,144.043,163.259,-8.110,102.950
1.810,199.707,146.484,164.264,-8.110,102.950
1.820,199.707,148.926,165.268,-10.813,102.950
1.830,199.707,146.484,166.272,0.000,102.818
1.840,199.707,148.438,167.278,-10.813,102.818
1.850,199.707,150.879,168.283,0.000,102.950
1.860,199.707,148.438,169.289,2.703,102.950
1.870,199.707,144.043,170.294,2.703,103.082
1.880,199.707,145.508,171.298,-5.407,102.686
1.890,199.707,143.066,172.294,-24.330,101.630
1.900,199.707,144.043,173.293,-18.923,102.158
1.910,199.707,148.926,174.297,2.703,102.686
1.920,0.000,135.742,175.303,21.626,103.082
1.930,0.000,144.043,176.309,-2.703,103.082
1.940,0.000,141.113,177.318,21.626,103.214
1.950,0.000,139.160,178.321,-5.407,102.290
1.960,0.000,134.277,179.332,18.923,103.610
1.970,0.000,15.137,180.338,-2.703,103.082
1.980,0.000,-1.953,181.319,-27.033,100.839
1.990,0.000,0.977,182.278,-127.054,98.331
2.000,0.000,-4.883,183.216,-116.241,96.087
2.010,0.000,-1.953,184.130,-154.087,93.843
2.020,0.000,-1.953,185.021,-189.230,91.335
2.030,0.000,3.418,185.891,-194.636,89.092
2.040,0.000,-1.465,186.739,-186.526,86.980
2.050,0.000,0.977,187.564,-183.823,84.604
2.060,0.000,0.000,188.368,-189.230,82.360
2.070,0.000,-0.488,189.149,-186.526,80.116
2.080,0.000,-4.395,189.908,-183.823,77.741
2.090,0.000,-0.488,190.645,-186.526,75.629
2.100,0.000,-1.953,191.361,-183.823,73.385
2.110,0.000,-4.395,192.055,-178.416,71.273
2.120,0.000,-1.465,192.728,-183.823,69.030
2.130,0.000,-4.395,193.380,-178.416,66.786
2.140,0.000,-0.977,194.008,-186.526,64.410
2.150,0.000,-2.930,194.616,-178.416,62.430
2.160,0.000,2.930,195.204,-178.416,60.318
2.170,0.000,-2.930,195.770,-175.713,58.075
2.180,0.000,-3.906,196.314,-183.823,55.831
2.190,0.000,-3.418,196.838,-178.416,53.587
2.200,0.000,0.977,197.340,-175.713,51.607
2.210,0.000,0.000,197.822,-178.416,49.363
2.220,0.000,0.977,198.283,-173.010,47.384
2.230,0.000,-1.465,198.723,-178.416,45.140
2.240,0.000,5.371,199.140,-173.010,42.896
2.250,0.000,0.977,199.535,-186.526,40.520
2.260,0.000,-1.953,199.911,-173.010,38.672
2.270,0.000,2.441,200.266,-175.713,36.561
2.280,0.000,1.953,200.600,-173.010,34.317
2.290,0.000,-1.953,200.912,-183.823,32.073
2.300,0.000,0.000,201.204,-173.010,29.961
2.310,0.000,-3.906,201.474,-175.713,27.849
2.320,0.000,-3.418,201.722,-181.120,25.474
2.330,0.000,-4.883,201.950,-181.120,23.362
2.340,0.000,0.977,202.157,-175.713,21.382
2.350,0.000,3.418,202.346,-167.603,19.402
2.360,0.000,-0.488,202.516,-164.900,17.686
2.370,0.000,-2.441,202.665,-164.900,15.443
2.380,0.000,1.953,202.792,-170.307,13.067
2.390,0.000,-4.883,202.898,-178.416,10.955
2.400,0.000,-0.488,202.985,-164.900,9.107
2.410,0.000,1.953,203.055,-164.900,7.259
2.420,0.000,2.930,203.104,-167.603,5.148
2.430,0.000,3.418,203.134,-164.900,3.168
2.440,0.000,-18.555,203.145,-162.197,1.188
2.450,0.000,2.930,203.141,-151.384,-0.396
2.460,0.000,22.949,203.138,-116.241,-0.396
2.470,0.000,9.277,203.138,-62.175,0.132
2.480,0.000,-6.348,203.137,-35.143,-0.132
2.490,0.000,-19.043,203.137,-24.330,0.000
2.500,0.000,12.207,203.137,-2.703,0.000
2.510,0.000,22.461,203.137,13.516,0.000
2.520,0.000,-20.508,203.137,-5.407,0.000
2.530,0.000,-7.324,203.137,2.703,0.000
2.540,0.000,16.602,203.137,0.000,0.000
2.550,0.000,23.926,203.137,0.000,0.000
