Temps,Consigne,Ecart,I moteur,vitesse
s,mm/s,mm/s,mA,mm/s
2.230,0.000,0.000,-118.164,0.000
2.240,0.000,0.000,-118.652,0.000
2.250,0.000,0.000,-119.141,0.000
2.260,0.000,0.000,-118.652,0.000
2.270,0.000,0.000,-118.164,0.000
2.280,0.000,0.000,-116.699,0.000
2.290,0.000,0.000,-117.676,0.000
2.300,0.000,0.000,-119.141,0.000
2.310,0.000,0.000,-117.188,0.000
2.320,0.000,0.000,-115.723,0.000
2.330,0.000,0.000,-119.141,0.000
2.340,0.000,0.000,-118.164,0.000
2.350,0.000,0.000,-118.652,0.000
2.360,0.000,0.000,-118.652,0.000
2.370,0.000,0.000,-114.746,0.000
2.380,0.000,0.000,-114.746,0.000
2.390,0.000,0.000,-116.211,0.000
2.400,0.000,0.000,-117.188,0.000
2.410,0.000,0.000,-118.164,0.000
2.420,0.000,0.000,-115.723,0.000
2.430,0.000,0.000,-118.164,0.000
2.440,0.000,0.000,-117.188,0.000
2.450,0.000,0.000,-118.164,0.000
2.460,0.000,0.000,-119.141,0.000
2.470,0.000,0.000,-116.211,0.000
2.480,0.000,0.000,-115.723,0.000
2.490,0.000,0.000,-117.188,0.000
2.500,0.000,0.000,-116.211,0.000
2.510,0.000,0.000,-117.676,0.000
2.520,0.000,0.000,-116.699,0.000
2.530,0.000,0.000,-117.188,0.000
2.540,0.000,0.000,-116.699,0.000
2.550,0.000,0.000,-116.699,0.000
2.560,0.000,0.000,-115.234,0.000
2.570,0.000,0.000,-115.723,0.000
2.580,0.000,0.000,-117.188,0.000
2.590,0.000,0.000,-119.141,0.000
2.600,0.000,0.000,-116.699,0.000
2.610,0.000,0.000,-115.723,0.000
2.620,0.000,0.000,-117.188,0.000
2.630,0.000,0.000,-115.234,0.000
2.640,0.000,0.000,-119.141,0.000
2.650,0.000,0.000,-114.746,0.000
2.660,0.000,0.000,-115.234,0.000
2.670,0.000,0.000,-119.141,0.000
2.680,0.000,0.000,-116.699,0.000
2.690,0.000,0.000,-115.723,0.000
2.700,0.000,0.000,-118.164,0.000
2.710,0.000,0.000,-117.676,0.000
2.720,0.000,0.000,-116.211,0.000
2.730,0.000,0.000,-114.258,0.000
2.740,0.000,0.000,-122.070,0.000
2.750,0.000,0.000,-117.188,0.000
2.760,0.000,0.000,-118.652,0.000
2.770,0.000,0.000,-118.164,0.000
2.780,0.000,0.000,-116.699,0.000
2.790,0.000,0.000,-117.676,0.000
2.800,0.000,0.000,-114.746,0.000
2.810,0.000,0.000,-117.676,0.000
2.820,0.000,0.000,-115.234,0.000
2.830,0.000,0.000,-119.629,0.000
2.840,0.000,0.000,-118.164,0.000
2.850,0.000,0.000,-118.652,0.000
2.860,0.000,0.000,-119.141,0.000
2.870,0.000,0.000,-119.629,0.000
2.880,0.000,0.000,-117.188,0.000
2.890,0.000,0.000,-115.723,0.000
