Temps,vitesse,I moteur,accélération,position,U moteur,Sortie Reg.
s,mm/s,mA,mm/s²,mm,V,mA
1.850,101.894,145.996,0.000,167.818,22.211,199.707
1.860,102.026,148.438,8.110,168.814,22.211,199.707
1.870,101.366,148.926,-16.220,169.806,22.211,199.707
1.880,101.762,147.461,2.703,170.798,22.211,199.707
1.890,101.762,145.508,-5.407,171.791,22.211,199.707
1.900,101.630,151.855,8.110,172.783,22.211,199.707
1.910,101.102,151.367,-27.033,173.772,22.211,199.707
1.920,101.762,144.043,8.110,174.767,22.211,199.707
1.930,102.026,145.508,8.110,175.760,22.211,0.000
1.940,102.158,135.254,18.923,176.757,22.211,0.000
1.950,102.290,143.066,0.000,177.755,22.211,0.000
1.960,102.290,142.090,18.923,178.755,22.211,0.000
1.970,102.554,139.160,13.516,179.753,22.211,0.000
1.980,101.762,11.230,-8.110,180.746,22.135,0.000
1.990,99.387,-3.418,-56.769,181.717,21.539,0.000
2.000,96.879,0.488,-116.241,182.664,21.061,0.000
2.010,93.975,-2.930,-154.087,183.584,20.497,0.000
2.020,91.995,1.465,-167.603,184.485,20.475,0.000
2.030,89.620,0.488,-197.339,185.360,19.781,0.000
2.040,87.376,-2.930,-186.526,186.215,19.162,0.000
2.050,85.132,-0.488,-200.043,187.048,18.707,0.000
2.060,82.756,2.441,-181.120,187.855,18.034,0.000
2.070,79.984,-5.371,-200.043,188.640,17.839,0.000
2.080,78.269,0.488,-186.526,189.405,16.873,0.000
2.090,75.893,2.441,-186.526,190.148,16.829,0.000
2.100,73.649,-4.395,-178.416,190.869,16.102,0.000
2.110,71.405,-0.977,-197.339,191.568,15.517,0.000
2.120,69.161,1.953,-173.010,192.245,15.213,0.000
2.130,66.918,-0.488,-186.526,192.899,14.507,0.000
2.140,64.674,-1.465,-183.823,193.532,13.856,0.000
2.150,62.298,0.000,-186.526,194.142,13.270,0.000
2.160,60.186,-0.977,-183.823,194.730,13.227,0.000
2.170,57.943,1.953,-183.823,195.297,12.847,0.000
2.180,55.699,0.488,-181.120,195.842,12.196,0.000
2.190,53.455,0.977,-186.526,196.366,11.914,0.000
2.200,51.343,1.953,-178.416,196.867,11.426,0.000
2.210,49.231,4.883,-178.416,197.350,10.764,0.000
2.220,47.120,-5.371,-175.713,197.811,10.135,0.000
2.230,45.008,-2.441,-175.713,198.251,9.852,0.000
2.240,42.896,0.488,-173.010,198.671,9.332,0.000
2.250,40.652,2.441,-175.713,199.069,8.843,0.000
2.260,38.672,-3.418,-173.010,199.447,8.485,0.000
2.270,36.429,-3.906,-175.713,199.804,7.867,0.000
2.280,34.581,0.488,-167.603,200.142,7.389,0.000
2.290,32.073,-1.953,-181.120,200.457,6.901,0.000
2.300,30.093,4.883,-170.307,200.752,6.489,0.000
2.310,27.981,-0.977,-181.120,201.025,6.163,0.000
2.320,25.870,-1.465,-164.900,201.279,5.599,0.000
2.330,23.626,-2.441,-183.823,201.510,4.731,0.000
2.340,21.382,2.441,-175.713,201.720,4.546,0.000
2.350,19.270,-0.488,-178.416,201.909,4.178,0.000
2.360,17.290,-0.977,-173.010,202.079,3.592,0.000
2.370,15.179,0.977,-173.010,202.228,3.472,0.000
2.380,13.331,-1.465,-167.603,202.360,3.201,0.000
2.390,11.747,-1.953,-156.790,202.476,2.355,0.000
2.400,9.899,0.000,-148.680,202.573,1.975,0.000
2.410,7.787,0.977,-156.790,202.650,1.552,0.000
2.420,5.543,-1.465,-164.900,202.705,1.063,0.000
2.430,3.168,6.348,-170.307,202.737,0.716,0.000
2.440,0.924,-1.953,-178.416,202.748,-0.304,0.000
2.450,-0.264,1.465,-162.197,202.745,-0.629,0.000
2.460,0.000,19.531,-110.834,202.745,-0.141,0.000
2.470,0.000,-17.578,-67.582,202.744,0.347,0.000
2.480,0.000,-22.949,-40.549,202.744,0.488,0.000
2.490,0.000,-2.930,-24.330,202.744,-0.076,0.000
2.500,0.000,15.137,5.407,202.744,-0.282,0.000
2.510,0.000,11.719,0.000,202.744,-0.532,0.000
2.520,0.000,14.648,0.000,202.744,-0.119,0.000
2.530,0.000,-20.996,0.000,202.744,0.401,0.000
2.540,0.000,13.184,0.000,202.744,-0.228,0.000
2.550,-0.396,9.766,-8.110,202.741,-0.467,0.000
2.560,0.660,26.367,13.516,202.746,0.477,0.000
2.570,-0.132,-16.602,-2.703,202.746,0.510,0.000
2.580,-0.264,5.371,2.703,202.744,-0.293,0.000
2.590,0.000,22.461,-21.626,202.744,-0.662,0.000
