temps;TRH1;EFN
temps;trs/min Droit;Effort milli N
0008.572;04136; 00196
0008.589;04136; 00196
0008.604;04136; 00196
0008.619;04136; 00196
0008.636;04064; 00196
0008.651;04064; 00196
0008.666;04136; 00196
0008.681;04136; 00196
0008.698;04136; 00196
0008.713;04136; 00196
0008.730;04136; 00196
0008.745;04136; 00196
0008.762;04136; 00196
0008.775;04136; 00196
0008.792;04136; 00196
0008.807;04136; 00196
0008.822;04136; 00196
0008.837;04064; 00196
0008.854;04136; 00196
0008.869;04136; 00196
0008.884;04136; 00196
0008.901;04136; 00196
0008.916;04136; 00196
0008.930;04136; 00196
0008.948;04136; 00196
0008.962;04136; 00196
0008.980;04136; 00196
0008.994;04136; 00196
0009.009;04136; 00196
0009.024;04136; 00196
0009.041;04136; 00196
0009.056;04136; 00196
0009.071;04136; 00196
0009.086;04136; 00196
0009.103;04136; 00196
0009.118;04211; 00196
0009.133;04211; 00196
0009.148;04211; 00196
0009.165;04136; 00196
0009.180;04211; 00196
0009.195;04211; 00196
0009.212;04212; 00196
0009.227;04211; 00196
0009.274;04212; 00196
0009.306;04211; 00196
0009.321;04289; 00196
0009.336;04211; 00196
0009.353;04212; 00196
0009.368;04211; 00196
0009.398;04289; 00196
0009.415;04289; 00196
0009.445;04211; 00196
0009.462;04289; 00196
0009.492;04289; 00196
0009.509;04289; 00196
0009.524;04370; 00196
0009.541;04289; 00196
0009.556;04289; 00196
0009.571;04289; 00186
0009.585;04289; 00196
0009.603;04289; 00196
0009.617;04289; 00196
0009.634;04289; 00196
0009.647;04370; 00196
0009.664;04370; 00196
0009.679;04370; 00196
0009.696;04370; 00196
0009.711;04370; 00196
0009.726;04370; 00196
0009.741;04370; 00196
0009.758;04370; 00186
0009.773;04370; 00196
0009.790;04289; 00196
0009.805;04370; 00196
0009.820;04370; 00196
0009.835;04370; 00196
0009.852;04370; 00196
0009.867;04370; 00196
0009.882;04370; 00196
0009.899;04370; 00186
0009.914;04454; 00186
0009.929;04370; 00196
0009.946;04454; 00196
0009.959;04370; 00196
0009.976;04370; 00196
0009.991;04370; 00196
0010.008;04454; 00206
0010.023;04454; 00206
0010.038;04370; 00206
0010.053;04370; 00206
0010.070;04370; 00206
0010.085;04454; 00206
0010.100;04454; 00206
0010.115;04454; 00216
0010.134;04454; 00216
0010.149;04454; 00216
0010.164;04370; 00206
0010.179;04370; 00216
0010.193;04454; 00216
0010.208;04454; 00206
0010.225;04454; 00216
0010.240;04370; 00226
0010.255;04454; 00226
0010.270;04454; 00216
0010.287;04454; 00216
0010.302;04454; 00226
0010.319;04541; 00235
0010.334;04454; 00226
0010.349;04455; 00226
0010.364;04455; 00235
0010.381;04541; 00245
0010.396;04454; 00245
0010.411;04454; 00235
0010.426;04542; 00235
0010.445;04541; 00245
0010.458;04541; 00245
0010.475;04541; 00245
0010.490;04541; 00235
0010.507;04541; 00235
0010.522;04542; 00245
0010.537;04541; 00245
0010.552;04541; 00245
0010.569;04632; 00245
0010.582;04542; 00245
0010.599;04542; 00245
0010.614;04542; 00245
0010.631;04542; 00245
0010.646;04632; 00245
0010.661;04632; 00245
0010.678;04541; 00245
0010.693;04632; 00245
0010.708;04632; 00235
0010.725;04632; 00245
0010.742;04632; 00245
0010.755;04542; 00245
0010.787;04632; 00235
0010.801;04632; 00235
0010.831;04541; 00235
0010.848;04542; 00235
0010.863;04542; 00235
0010.880;04632; 00235
0010.895;04632; 00235
0010.910;04632; 00235
0010.927;04632; 00235
0010.942;04632; 00245
0010.957;04542; 00245
0010.974;04542; 00245
0010.989;04633; 00255
0011.006;04632; 00265
0011.019;04632; 00265
0011.036;04541; 00265
0011.051;04632; 00255
0011.066;04542; 00255
0011.083;04632; 00255
0011.098;04632; 00255
0011.113;04542; 00255
0011.130;04632; 00265
0011.145;04632; 00265
0011.160;04541; 00275
0011.177;04632; 00275
0011.192;04632; 00275
0011.207;04632; 00275
0011.224;04632; 00275
0011.239;04632; 00284
0011.254;04632; 00275
0011.269;04632; 00284
0011.288;04632; 00284
0011.301;04632; 00275
0011.316;04632; 00275
0011.331;04632; 00275
