temps;APEG;TV;TPC
temps;Angle Pivot;Gyromètre;Consigne tangage PC
0005.062;-681;24;1820
0005.078;-661;26;1820
0005.094;-641;28;1820
0005.110;-601;24;1820
0005.123;-561;30;1820
0005.142;-541;26;1820
0005.155;-521;28;1820
0005.171;-501;32;1820
0005.187;-461;28;1820
0005.203;-441;28;1820
0005.217;-381;28;1820
0005.233;-381;34;1820
0005.249;-361;30;1820
0005.267;-340;32;1820
0005.281;-300;30;1820
0005.297;-260;30;1820
0005.310;-260;28;1820
0005.326;-220;30;1820
0005.342;-160;30;1820
0005.358;-140;30;1820
0005.374;-140;30;1820
0005.387;-80;28;1820
0005.406;-80;30;1820
0005.419;-40;32;1820
0005.435;-20;34;1820
0005.451;40;32;1820
0005.467;40;32;1820
0005.483;80;34;1820
0005.499;100;32;1820
0005.513;140;32;1820
0005.529;160;32;1820
0005.545;200;32;1820
0005.561;200;30;1820
0005.577;280;34;1820
0005.590;260;30;1820
0005.606;280;28;1820
0005.622;340;28;1820
0005.638;340;30;1820
0005.654;381;32;1820
0005.670;401;30;1820
0005.686;441;28;1820
0005.699;461;28;1820
0005.715;501;28;1820
0005.731;521;30;1820
0005.747;501;28;1820
0005.763;541;26;1820
0005.777;561;22;1820
0005.793;581;22;1820
0005.809;601;24;1820
0005.825;641;24;1820
0005.841;661;30;1820
0005.857;701;28;1820
0005.886;741;30;1820
0005.902;781;34;1820
0005.918;821;32;1820
0005.934;841;34;1820
0005.950;881;32;1820
0005.966;901;34;1820
0005.979;941;34;1820
0005.995;961;32;1820
0006.011;981;32;1820
0006.027;1021;32;1820
0006.043;1021;34;1820
0006.059;1082;36;1820
0006.075;1102;32;1820
0006.089;1142;34;1820
0006.105;1142;34;1820
0006.121;1222;38;1820
0006.137;1222;36;1820
0006.153;1242;32;1820
0006.169;1262;30;1820
0006.182;1302;32;1820
0006.198;1362;32;1820
0006.214;1342;30;1820
0006.230;1402;32;1820
0006.246;1422;28;1820
0006.262;1442;26;1820
0006.278;1482;28;1820
0006.291;1482;28;1820
0006.307;1542;30;1820
0006.323;1542;34;1820
0006.339;1602;34;1820
0006.355;1602;30;1820
0006.369;1662;32;1820
0006.385;1682;32;1820
0006.401;1722;30;1820
0006.417;1742;28;1820
0006.433;1783;26;1820
0006.449;1803;26;1820
0006.465;1843;28;1820
0006.478;1863;26;1820
0006.497;1903;26;1820
0006.510;1923;26;1820
0006.526;1943;28;1820
0006.542;1963;28;1820
0006.555;1983;28;1820
0006.571;2003;24;1820
0006.587;2043;28;1820
0006.603;2083;30;1820
0006.619;2103;30;1820
0006.635;2123;28;1820
0006.651;2143;28;1820
0006.667;2163;26;1820
0006.681;2163;24;1820
0006.697;2183;26;1820
0006.713;2243;30;1820
0006.729;2263;28;1820
0006.745;2283;28;1820
