temps;MDR;TRH1;EFN
temps;Commande Moteur Droit;trs/min Droit;Effort milli N
0005.112;05132;05232; 00353
0005.128;05143;05481; 00373
0005.144;05132;05615; 00383
0005.160;05097;05616; 00383
0005.174;05097;05756; 00373
0005.190;05043;05756; 00383
0005.206;04972;05904; 00392
0005.222;04890;05904; 00383
0005.238;04890;05756; 00392
0005.251;04801;05756; 00392
0005.267;04712;05615; 00383
0005.283;04626;05482; 00392
0005.299;04547;05482; 00383
0005.315;04547;05233; 00373
0005.328;04487;05116; 00373
0005.344;04440;05005; 00373
0005.360;04419;04898; 00363
0005.376;04419;04699; 00353
0005.392;04419;04605; 00343
0005.408;04440;04427; 00334
0005.424;04487;04344; 00324
0005.440;04547;04264; 00334
0005.456;04547;04186; 00324
0005.470;04626;04111; 00324
0005.486;04712;04111; 00324
0005.502;04801;04186; 00324
0005.518;04801;04264; 00324
0005.531;04972;04344; 00324
0005.547;04972;04515; 00334
0005.563;05043;04699; 00324
0005.579;05097;04797; 00334
0005.595;05132;05116; 00334
0005.611;05132;05233; 00334
0005.627;05132;05482; 00353
0005.643;05097;05482; 00373
0005.656;05097;05616; 00383
0005.672;05043;05756; 00373
0005.688;04972;05756; 00383
0005.704;04972;05756; 00383
0005.734;04801;05757; 00373
0005.752;04801;05616; 00383
0005.766;04712;05482; 00383
0005.782;04626;05482; 00383
0005.798;04547;05355; 00373
0005.814;04487;05233; 00373
0005.830;04440;05117; 00373
0005.843;04440;04899; 00363
0005.859;04419;04797; 00363
0005.875;04419;04605; 00353
0005.891;04440;04514; 00343
0005.907;04440;04428; 00334
0005.923;04487;04345; 00343
0005.939;04547;04264; 00334
0005.952;04626;04264; 00334
0005.968;04626;04186; 00324
0005.984;04712;04187; 00314
0006.000;04801;04264; 00324
0006.016;04890;04264; 00314
0006.030;04972;04428; 00314
0006.046;04972;04605; 00324
0006.062;05043;04699; 00324
0006.078;05097;04899; 00324
