temps;APEG;TV;TPC
temps;Angle Pivot;Gyromètre;Consigne tangage PC
0005.374;-00140; 0030; 1820
0005.387;-00080; 0028; 1820
0005.406;-00080; 0030; 1820
0005.419;-00040; 0032; 1820
0005.435;-00020; 0034; 1820
0005.451; 00040; 0032; 1820
0005.467; 00040; 0032; 1820
0005.483; 00080; 0034; 1820
0005.499; 00100; 0032; 1820
0005.513; 00140; 0032; 1820
0005.529; 00160; 0032; 1820
0005.545; 00200; 0032; 1820
0005.561; 00200; 0030; 1820
0005.577; 00280; 0034; 1820
0005.590; 00260; 0030; 1820
0005.606; 00280; 0028; 1820
0005.622; 00340; 0028; 1820
0005.638; 00340; 0030; 1820
0005.654; 00381; 0032; 1820
0005.670; 00401; 0030; 1820
0005.686; 00441; 0028; 1820
0005.699; 00461; 0028; 1820
0005.715; 00501; 0028; 1820
0005.731; 00521; 0030; 1820
0005.747; 00501; 0028; 1820
0005.763; 00541; 0026; 1820
0005.777; 00561; 0022; 1820
0005.793; 00581; 0022; 1820
0005.809; 00601; 0024; 1820
0005.825; 00641; 0024; 1820
0005.841; 00661; 0030; 1820
0005.857; 00701; 0028; 1820
0005.886; 00741; 0030; 1820
0005.902; 00781; 0034; 1820
0005.918; 00821; 0032; 1820
0005.934; 00841; 0034; 1820
0005.950; 00881; 0032; 1820
0005.966; 00901; 0034; 1820
0005.979; 00941; 0034; 1820
0005.995; 00961; 0032; 1820
0006.011; 00981; 0032; 1820
0006.027; 01021; 0032; 1820
0006.043; 01021; 0034; 1820
0006.059; 01082; 0036; 1820
0006.075; 01102; 0032; 1820
0006.089; 01142; 0034; 1820
0006.105; 01142; 0034; 1820
0006.121; 01222; 0038; 1820
0006.137; 01222; 0036; 1820
0006.153; 01242; 0032; 1820
0006.169; 01262; 0030; 1820
0006.182; 01302; 0032; 1820
0006.198; 01362; 0032; 1820
0006.214; 01342; 0030; 1820
0006.230; 01402; 0032; 1820
0006.246; 01422; 0028; 1820
0006.262; 01442; 0026; 1820
0006.278; 01482; 0028; 1820
0006.291; 01482; 0028; 1820
0006.307; 01542; 0030; 1820
0006.323; 01542; 0034; 1820
0006.339; 01602; 0034; 1820
0006.355; 01602; 0030; 1820
0006.369; 01662; 0032; 1820
0006.385; 01682; 0032; 1820
0006.401; 01722; 0030; 1820
0006.417; 01742; 0028; 1820
0006.433; 01783; 0026; 1820
0006.449; 01803; 0026; 1820
0006.465; 01843; 0028; 1820
0006.478; 01863; 0026; 1820
0006.497; 01903; 0026; 1820
0006.510; 01923; 0026; 1820
0006.526; 01943; 0028; 1820
0006.542; 01963; 0028; 1820
0006.555; 01983; 0028; 1820
0006.571; 02003; 0024; 1820
0006.587; 02043; 0028; 1820
0006.603; 02083; 0030; 1820
0006.619; 02103; 0030; 1820
0006.635; 02123; 0028; 1820
0006.651; 02143; 0028; 1820
0006.667; 02163; 0026; 1820
0006.681; 02163; 0024; 1820
0006.697; 02183; 0026; 1820
0006.713; 02243; 0030; 1820
0006.729; 02263; 0028; 1820
0006.745; 02283; 0028; 1820
0006.758; 02303; 0026; 1820
0006.774; 02323; 0030; 1820
0006.790; 02343; 0028; 1820
0006.806; 02383; 0028; 1820
0006.822; 02403; 0024; 1820
0006.838; 02444; 0022; 1820
0006.854; 02423; 0024; 1820
0006.867; 02464; 0022; 1820
0006.883; 02504; 0022; 1820
0006.899; 02484; 0020; 1820
0006.915; 02544; 0024; 1820
0006.931; 02564; 0028; 1820
0006.945; 02604; 0030; 1820
0006.961; 02624; 0026; 1820
0006.977; 02644; 0028; 1820
0006.993; 02644; 0026; 1820
0007.009; 02704; 0026; 1820
0007.025; 02704; 0030; 1820
0007.041; 02784; 0032; 1820
0007.057; 02804; 0032; 1820
0007.073; 02824; 0030; 1820
0007.086; 02844; 0030; 1820
0007.102; 02864; 0030;-1820
0007.118; 02864; 0018;-1820
0007.134; 02884; 0014;-1820
0007.147; 02904; 0010;-1820
0007.163; 02904; 0004;-1820
0007.179; 02904;-0002;-1820
0007.195; 02864;-0008;-1820
0007.211; 02864;-0008;-1820
0007.227; 02844;-0012;-1820
0007.243; 02824;-0012;-1820
0007.257; 02804;-0014;-1820
0007.273; 02824;-0010;-1820
0007.302; 02764;-0008;-1820
0007.321; 02764;-0010;-1820
0007.334; 02744;-0010;-1820
0007.350; 02744;-0008;-1820
0007.366; 02724;-0008;-1820
0007.382; 02724;-0010;-1820
0007.398; 02704;-0008;-1820
0007.414; 02704;-0008;-1820
0007.430; 02684;-0008;-1820
0007.446; 02684;-0004;-1820
0007.459; 02664;-0006;-1820
0007.475; 02664;-0006;-1820
0007.491; 02664;-0004;-1820
0007.507; 02464;-0022;-1820
0007.523; 02624;-0006;-1820
0007.539; 02624;-0006;-1820
0007.555; 02584;-0010;-1820
0007.569; 02604;-0008;-1820
0007.585; 02604;-0010;-1820
0007.601; 02564;-0012;-1820
0007.630; 02564;-0016;-1820
0007.646; 02524;-0016;-1820
0007.662; 02504;-0016;-1820
0007.678; 02484;-0016;-1820
0007.694; 02464;-0016;-1820
0007.710; 02464;-0014;-1820
0007.726; 02423;-0016;-1820
0007.739; 02444;-0014;-1820
0007.766; 02403;-0012;-1820
0007.771; 02403;-0014;-1820
0007.787; 02383;-0016;-1820
0007.803; 02343;-0014;-1820
0007.819; 02323;-0016;-1820
0007.835; 02283;-0018;-1820
0007.849; 02283;-0016;-1820
0007.865; 02183;-0024;-1820
0007.881; 02263;-0012;-1820
0007.897; 02223;-0014;-1820
0007.913; 02203;-0016;-1820
0007.926; 02243;-0012;-1820
0007.942; 02203;-0014;-1820
0007.958; 02203;-0014;-1820
0007.974; 02163;-0016;-1820
0007.990; 02143;-0016;-1820
0008.006; 02103;-0020;-1820
0008.035; 02083;-0018;-1820
0008.051; 02063;-0018;-1820
0008.081; 02003;-0020;-1820
0008.099; 01983;-0020;-1820
0008.113; 01963;-0020;-1820
0008.129; 01963;-0018;-1820
0008.145; 01923;-0020;-1820
0008.161; 01903;-0020;-1820
0008.177; 01863;-0018;-1820
0008.193; 01843;-0020;-1820
0008.209; 01823;-0020;-1820
0008.225; 01783;-0024;-1820
0008.238; 01823;-0018;-1820
0008.254; 01742;-0020;-1820
0008.270; 01742;-0020;-1820
0008.286; 01722;-0020;-1820
0008.302; 01702;-0020;-1820
0008.318; 01662;-0020;-1820
0008.334; 01642;-0022;-1820
0008.347; 01622;-0020;-1820
0008.363; 01622;-0024;-1820
0008.379; 01622;-0022;-1820
0008.395; 01522;-0022;-1820
0008.411; 01542;-0022;-1820
0008.441; 01482;-0022;-1820
0008.457; 01462;-0018;-1820
0008.473; 01402;-0020;-1820
0008.489; 01402;-0018;-1820
0008.502; 01382;-0018;-1820
0008.521; 01342;-0020;-1820
0008.534; 01342;-0018;-1820
0008.550; 01322;-0022;-1820
0008.566; 01302;-0020;-1820
0008.582; 01262;-0022;-1820
