Temps,Sortie Reg.,position,I moteur,Consigne,Mesure,vitesse,accélération
s,mm/s,mm,mA,mm,mm,mm/s,mm/s²
2.700,-9.635,50.189,13.184,50.000,50.188,-0.132,10.813
2.710,-9.635,50.189,17.090,50.000,50.188,0.132,-10.813
2.720,-9.635,50.189,16.602,50.000,50.188,0.000,-2.703
2.730,-9.635,50.189,3.418,50.000,50.188,0.000,8.110
2.740,-9.635,50.189,33.203,50.000,50.188,0.000,-10.813
2.750,-9.635,50.189,-9.766,50.000,50.188,0.000,5.407
2.760,-9.635,50.189,42.480,50.000,50.188,0.000,-2.703
2.770,-9.635,50.189,30.273,50.000,50.188,0.132,2.703
2.780,-9.635,50.189,-15.137,50.000,50.188,0.000,0.000
2.790,-9.635,50.189,38.574,50.000,50.188,0.000,0.000
2.800,-9.635,50.189,-13.184,50.000,50.188,0.000,-2.703
2.810,-9.635,50.189,27.832,50.000,50.188,0.000,2.703
2.820,-9.635,50.189,22.461,50.000,50.188,0.000,-2.703
2.830,-9.635,50.183,-24.902,50.000,50.183,-0.528,-10.813
2.840,-9.371,50.186,42.969,50.000,50.186,0.528,10.813
2.850,-9.503,50.188,-12.695,50.000,50.186,0.000,0.000
2.860,-9.503,50.188,31.250,50.000,50.186,0.000,10.813
2.870,-9.503,50.188,0.000,50.000,50.186,0.000,-21.626
