Temps,vitesse,I moteur,Ecart,Consigne
s,mm/s,mA,mm/s,mm/s
2.090,0.132,-11.230,0.000,0.000
2.100,0.000,-9.766,-0.132,0.000
2.110,0.528,-11.230,0.000,0.000
2.120,-1.056,-58.594,-0.528,0.000
2.130,-0.264,24.414,1.056,0.000
2.140,0.132,-25.391,0.264,0.000
2.150,0.000,4.395,-0.132,0.000
2.160,0.000,27.344,0.000,0.000
2.170,0.000,2.441,0.000,0.000
2.180,0.000,-3.906,0.000,0.000
2.190,0.000,9.766,0.000,0.000
2.200,-0.132,-28.809,0.000,0.000
2.210,0.000,37.598,0.132,0.000
2.220,0.000,-25.879,0.000,0.000
2.230,0.000,11.230,0.000,0.000
2.240,0.000,8.789,0.000,0.000
2.250,0.000,-8.301,0.000,0.000
2.260,0.000,-14.160,0.000,0.000
2.270,0.132,5.859,0.000,0.000
2.280,0.132,-11.719,-0.132,0.000
2.290,-0.660,-9.277,-0.132,0.000
2.300,0.528,-11.719,0.660,0.000
2.310,-0.132,16.113,-0.528,0.000
2.320,-0.132,-7.324,0.132,0.000
2.330,0.000,-8.789,0.132,0.000
2.340,0.000,25.879,0.000,0.000
2.350,-0.132,-5.859,0.000,0.000
2.360,0.000,-18.066,0.132,0.000
2.370,-0.132,13.672,0.000,0.000
2.380,-0.132,0.977,0.132,0.000
2.390,0.000,-12.695,0.132,0.000
2.400,0.000,16.113,0.000,0.000
2.410,0.000,12.695,0.000,0.000
2.420,0.000,-17.090,0.000,0.000
2.430,0.000,0.977,0.000,0.000
2.440,0.000,23.438,0.000,0.000
2.450,0.000,9.766,0.000,0.000
2.460,0.660,-0.488,0.000,0.000
2.470,-0.264,-3.906,-0.660,0.000
2.480,-0.396,-7.813,0.264,0.000
2.490,0.132,-7.324,0.396,0.000
2.500,0.132,25.391,-0.132,0.000
2.510,-0.132,-18.555,-0.132,0.000
2.520,0.000,-1.953,0.132,0.000
2.530,0.000,10.254,0.000,0.000
2.540,0.000,-13.184,0.000,0.000
2.550,0.000,-17.090,0.000,0.000
2.560,0.000,15.137,0.000,0.000
2.570,0.000,8.789,0.000,0.000
2.580,0.000,-13.184,0.000,0.000
2.590,0.000,-20.508,0.000,0.000
2.600,0.000,18.555,0.000,0.000
2.610,0.000,17.578,0.000,0.000
2.620,0.000,-18.555,0.000,0.000
2.630,0.000,14.160,0.000,0.000
2.640,0.660,7.324,0.000,0.000
2.650,-1.056,-50.781,-0.660,0.000
2.660,0.000,-17.578,1.056,0.000
2.670,0.132,10.254,0.000,0.000
2.680,0.000,19.531,-0.132,0.000
2.690,0.000,6.836,0.000,0.000
2.700,0.132,-27.344,0.000,0.000
2.710,-0.132,3.906,-0.132,0.000
2.720,0.000,10.742,0.132,0.000
2.730,0.000,-24.414,0.000,0.000
2.740,0.000,13.672,0.000,0.000
2.750,0.000,-15.625,0.000,0.000
2.760,0.000,17.578,0.000,0.000
2.770,0.000,10.254,0.000,0.000
2.780,0.132,-8.301,0.000,0.000
2.790,0.132,-16.602,-0.132,0.000
