Position - Lacet;Vitesse - Lacet;Courant moteur - Lacet
PL04_256.CRB;VL04_256.CRB;CL04_256.CRB
4.862000;4.862000;4.862000
deg.;deg./s;A
1,141273;17,108845;-1,654418
1,206849;13,615491;-1,626897
1,260478;11,782912;-1,653845
1,300252;7,721649;-1,625177
1,321549;4,944146;-1,653845
1,323202;1,951888;-1,626324
1,310074;-2,801365;-1,654418
1,282517;-4,882106;-1,625750
1,236752;-7,535528;-1,652698
1,173774;-12,766014;-1,628044
1,093972;-15,424209;-1,654991
0,999219;-19,824308;-1,645244
0,894442;-21,356229;-1,653845
0,784536;-22,358421;-1,453170
0,676350;-22,215251;-1,333339
0,575235;-21,165336;-1,063288
0,481714;-20,077242;-0,939443
0,395297;-17,824696;-0,822479
0,312812;-17,118390;-0,645312
0,230394;-16,951358;-0,499680
0,147116;-17,075439;-0,394756
0,062032;-17,275877;-0,181467
-0,024907;-17,920143;-0,070809
-0,113147;-18,058541;0,036408
-0,201926;-18,316248;0,270337
-0,287668;-17,705388;0,382715
-0,367807;-17,008626;0,499106
-0,439779;-14,565187;0,696914
-0,501407;-12,966453;0,791518
-0,551121;-11,396352;0,937723
-0,588634;-7,592796;0,996779
-0,615701;-6,156321;1,082209
-0,628931;-4,180571;1,108010
-0,629876;-0,314975;1,120624
-0,624847;0,940151;1,115464
-0,618199;1,465109;1,108584
-0,608732;1,842124;1,098263
-0,594962;2,410033;1,074182
-0,576028;3,937182;1,054115
-0,550243;4,863016;1,009393
-0,514316;6,342442;0,960658
-0,469243;9,201075;0,911923
-0,418551;10,017145;0,792664
-0,362593;11,582473;0,723288
-0,303986;11,973805;0,653339
-0,244266;12,336503;0,500826
-0,185102;12,193333;0,428010
-0,129178;11,596790;0,274924
-0,075532;11,315222;0,206121
-0,025717;10,227128;0,139039
0,020908;9,950333;0,065076
0,062319;8,418411;-0,015194
0,099917;7,883909;-0,098330
0,131068;6,996253;-0,191214
0,157781;5,445242;-0,230202
0,182115;5,120723;-0,281804
0,202787;4,767569;-0,323659
0,217232;3,006575;-0,349461
0,226091;2,123692;-0,368954
0,230833;0,897200;-0,390742
0,232217;0,391332;-0,394756
0,230934;-0,224300;-0,395902
0,228133;-0,534502;-0,395329
0,223931;-0,806526;-0,384435
0,216742;-1,111956;-0,379275
0,203074;-2,705918;-0,359207
0,181491;-3,956271;-0,328246
0,155469;-5,464331;-0,297285
0,127069;-5,803168;-0,262310
0,096542;-6,075191;-0,180894
0,065070;-6,456978;-0,149359
0,037547;-5,927248;-0,085717
