Temps,Consigne,Mesure,I moteur,U moteur,position,accélération,vitesse,Mes. Num. Vit.,Mes. Vitesse,S. Action D.,S. Action I.,S. Action P.,Ecart
s,mm/s,mm/s,mA,V,mm,mm/s²,mm/s,inc,mm/s,mm/s,mm/s,mm/s,mm/s
1.300,0.000,-0.528,-12.695,-0.228,114.734,5.407,0.000,0.000,0.000,1.056,404.410,0.264,0.264
1.310,0.000,0.396,9.766,-0.315,114.737,2.703,0.264,2.000,0.264,-0.924,404.410,0.000,0.000
1.320,0.000,-0.264,-15.625,0.434,114.735,2.703,-0.132,-1.000,-0.132,-1.452,404.410,-0.264,-0.264
1.330,0.000,0.000,-7.813,0.054,114.735,-5.407,0.000,0.000,0.000,1.320,404.410,0.132,0.132
1.340,0.000,0.000,14.160,-0.434,114.734,-2.703,-0.132,-1.000,-0.132,-0.264,404.410,0.000,0.000
1.350,0.000,0.000,-23.438,0.543,114.734,8.110,0.000,0.000,0.000,0.396,404.410,0.132,0.132
1.360,0.000,0.000,-15.625,-0.076,114.734,-8.110,0.000,0.000,0.000,-0.528,404.410,0.000,0.000
1.370,0.000,0.000,22.949,-0.477,114.734,5.407,0.000,0.000,0.000,-0.264,404.410,0.000,0.000
1.380,0.000,0.000,-25.391,0.510,114.734,-2.703,0.000,0.000,0.000,-0.132,404.410,0.000,0.000
1.390,0.000,0.000,20.020,-0.488,114.734,2.703,0.000,0.000,0.000,0.000,404.410,0.000,0.000
1.400,0.000,0.000,9.277,-0.087,114.734,0.000,0.000,0.000,0.000,0.000,404.410,0.000,0.000
1.410,0.000,0.000,4.883,0.130,114.734,0.000,0.000,0.000,0.000,0.000,404.410,0.000,0.000
1.420,0.000,0.000,-5.371,0.488,114.734,0.000,0.000,0.000,0.000,0.000,404.410,0.000,0.000
1.430,0.000,0.000,-13.184,0.445,114.734,0.000,0.000,0.000,0.000,0.000,404.410,0.000,0.000
1.440,0.000,0.000,-6.836,-0.130,114.734,0.000,0.000,0.000,0.000,0.000,404.410,0.000,0.000
1.450,0.000,0.000,15.137,-0.467,114.734,0.000,0.000,0.000,0.000,0.000,404.410,0.000,0.000
