Temps,Ecart,I moteur,Mesure,vitesse,accélération,position,U moteur,Consigne,Sortie Reg.,S. Action P.
s,mm/s,mA,mm/s,mm/s,mm/s²,mm,V,mm/s,inc,mm/s
5.440,-0.792,-10.254,-0.264,-0.264,10.813,90.225,0.054,0.000,-12.000,-1.584
5.450,0.264,-10.742,0.000,0.000,-35.143,90.224,0.336,0.000,4.000,0.528
5.460,0.000,-5.371,0.132,0.132,21.626,90.225,0.065,0.000,0.000,0.000
5.470,-0.132,20.508,0.000,0.000,2.703,90.225,-0.477,0.000,-2.000,-0.264
5.480,0.000,-11.230,0.000,0.000,-21.626,90.225,0.358,0.000,0.000,0.000
5.490,0.000,5.859,0.132,0.132,5.407,90.225,-0.260,0.000,0.000,0.000
5.500,-0.132,9.766,0.000,0.000,2.703,90.225,-0.184,0.000,-2.000,-0.264
5.510,0.000,-10.742,0.000,0.000,-2.703,90.225,0.423,0.000,0.000,0.000
5.520,0.000,-10.742,0.000,0.000,-2.703,90.225,0.130,0.000,0.000,0.000
5.530,0.000,20.996,-0.132,-0.132,0.000,90.225,-0.499,0.000,0.000,0.000
5.540,0.132,-11.719,0.132,0.132,0.000,90.225,0.336,0.000,2.000,0.264
5.550,-0.132,-8.789,0.000,0.000,0.000,90.225,0.065,0.000,-2.000,-0.264
5.560,0.000,-12.695,0.000,0.000,2.703,90.225,0.022,0.000,0.000,0.000
5.570,0.000,-8.789,-0.792,-0.792,-21.626,90.218,-0.358,0.000,0.000,0.000
5.580,0.792,-12.695,0.132,0.132,8.110,90.218,0.304,0.000,12.000,1.584
5.590,-0.132,-6.348,0.132,0.132,0.000,90.219,-0.011,0.000,-2.000,-0.264
5.600,-0.132,-1.953,-0.132,-0.132,13.516,90.219,0.239,0.000,-2.000,-0.264
5.610,0.132,-25.391,0.000,0.000,-18.923,90.219,0.163,0.000,2.000,0.264
5.620,0.000,20.020,0.000,0.000,16.220,90.219,-0.532,0.000,0.000,0.000
5.630,0.000,-8.789,0.000,0.000,2.703,90.219,0.109,0.000,0.000,0.000
5.640,0.000,-17.578,0.132,0.132,-2.703,90.219,0.412,0.000,0.000,0.000
5.650,-0.132,16.602,0.000,0.000,2.703,90.219,-0.510,0.000,-2.000,-0.264
5.660,0.000,22.949,0.132,0.132,2.703,90.219,-0.575,0.000,0.000,0.000
5.670,-0.132,5.859,-0.132,-0.132,-5.407,90.219,0.054,0.000,-2.000,-0.264
5.680,0.132,-19.531,0.000,0.000,2.703,90.219,0.271,0.000,2.000,0.264
5.690,0.000,-12.695,0.000,0.000,-5.407,90.219,0.163,0.000,0.000,0.000
5.700,0.000,22.461,0.000,0.000,5.407,90.219,-0.109,0.000,0.000,0.000
5.710,0.000,-1.953,0.000,0.000,-5.407,90.219,0.141,0.000,0.000,0.000
5.720,0.000,1.953,-0.660,-0.660,-10.813,90.213,-0.401,0.000,0.000,0.000
5.730,0.660,118.652,1.188,1.188,24.330,90.220,-0.401,0.000,10.000,1.320
5.740,-1.188,-31.738,0.264,0.264,5.407,90.225,0.412,0.000,-18.000,-2.376
5.750,-0.264,3.906,-0.264,-0.264,8.110,90.222,-0.369,0.000,-4.000,-0.528
5.760,0.264,10.254,0.132,0.132,-35.143,90.223,-0.304,0.000,4.000,0.528
5.770,-0.132,-34.180,0.000,0.000,32.439,90.223,0.250,0.000,-2.000,-0.264
5.780,0.000,-5.371,0.000,0.000,-13.516,90.223,0.239,0.000,0.000,0.000
5.790,0.000,13.184,0.132,0.132,-10.813,90.223,-0.499,0.000,0.000,0.000
5.800,-0.132,-11.719,-0.132,-0.132,5.407,90.223,0.336,0.000,-2.000,-0.264
5.810,0.132,-7.813,0.132,0.132,0.000,90.223,0.130,0.000,2.000,0.264
5.820,-0.132,16.602,0.000,0.000,-2.703,90.223,-0.553,0.000,-2.000,-0.264
5.830,0.000,21.484,0.000,0.000,5.407,90.223,-0.206,0.000,0.000,0.000
