Position analogique;Consigne vitesse - Epaule;Consigne position - Epaule;Consigne vitesse - Coude;Consigne position - Coude;Consigne vitesse - Inc. Poignet;Consigne position - Inc. Poignet
PL00_066.CRB;CE00_066.CRB;CE01_066.CRB;CC00_066.CRB;CC01_066.CRB;CI00_066.CRB;CI01_066.CRB
39.780000;39.780000;39.780000;39.780000;39.780000;39.780000;39.780000
mm;deg./s;deg.;deg./s;deg.;deg./s;deg.
1,739040;-1,115640;4,344299;4,179288;-23,014977;-3,067200;18,670534
1,056067;-1,107540;4,301054;4,167865;-22,852570;-3,063600;18,551385
0,853710;-1,099440;4,258127;4,156442;-22,690617;-3,060000;18,432373
0,879007;-1,091340;4,215519;4,144500;-22,529115;-3,056400;18,313496
0,853710;-1,083240;4,173225;4,133077;-22,368060;-3,052800;18,194749
0,866355;-1,075140;4,131245;4,121654;-22,207450;-3,049200;18,076136
0,879007;-1,067040;4,089578;4,110231;-22,047282;-3,045600;17,957647
0,879007;-1,058940;4,048223;4,099327;-21,887554;-3,042000;17,839288
0,879007;-0,983880;4,007959;3,822058;-21,731338;-2,840400;17,723354
0,891653;-0,739260;3,973899;2,878096;-21,598809;-2,142000;17,624896
0,853710;-0,356940;3,952481;1,388423;-21,515354;-1,033200;17,562870
0,866355;-0,091800;3,944326;0,356712;-21,483578;-0,266400;17,539250
0,866355;-0,000540;3,943104;0,000000;-21,478817;-0,003600;17,535711
0,879007;0,000000;3,943104;-0,000519;-21,478816;0,000000;17,535711
0,879007;0,000000;3,943104;-0,000519;-21,478816;0,000000;17,535711
0,980182;0,000000;3,943104;0,000000;-21,478816;0,000000;17,535711
0,916950;0,058320;3,943734;-0,238846;-21,481372;0,165600;17,537500
0,904297;0,286200;3,949896;-1,163596;-21,506386;0,813600;17,555010
0,916950;0,666360;3,968179;-2,703635;-21,580598;1,893600;17,606967
0,916950;0,950940;4,000199;-3,827769;-21,709997;2,703600;17,697973
0,916950;1,067040;4,040022;-4,230173;-21,869104;3,034800;17,811213
0,904297;1,076760;4,081779;-4,187077;-22,032892;3,063600;17,930012
0,904297;1,084860;4,123853;-4,165269;-22,195281;3,074400;18,049508
0,891653;1,093500;4,166243;-4,170981;-22,357391;3,081600;18,169357
0,879007;1,101600;4,208952;-4,182923;-22,519908;3,085200;18,289351
0,879007;1,109700;4,251983;-4,194346;-22,682880;3,088800;18,409480
0,879007;1,118340;4,295337;-4,206288;-22,846311;3,092400;18,529743
0,841065;1,126440;4,339014;-4,218231;-23,010204;3,096000;18,650145
1,372260;1,134540;4,383017;-4,230173;-23,174561;3,099600;18,770687
2,004637;1,143180;4,427346;-4,242635;-23,339387;3,103200;18,891368
2,700255;1,151820;4,472004;-4,254577;-23,504683;3,106800;19,012193
3,269392;1,159920;4,516992;-4,266519;-23,670453;3,110400;19,133166
3,813240;1,168560;4,562310;-4,278981;-23,836701;3,114000;19,254281
4,458263;1,177200;4,607962;-4,291442;-24,003429;3,117600;19,375547
5,103285;1,185840;4,653948;-4,303904;-24,170641;3,121200;19,496960
5,609190;1,194480;4,700269;-4,316365;-24,338340;3,124800;19,618523
6,153037;1,203120;4,746928;-4,329346;-24,506529;3,128400;19,740241
6,760117;1,211760;4,793927;-4,341808;-24,675213;3,132000;19,862113
7,443083;1,220940;4,841266;-4,354788;-24,844393;3,135600;19,984144
7,948988;1,229580;4,888947;-4,367769;-25,014075;3,139200;20,106332
8,505480;1,238220;4,936973;-4,380750;-25,184261;3,146400;20,228679
9,112560;1,247400;4,985344;-4,393731;-25,354955;3,150000;20,351187
9,833475;1,256580;5,034064;-4,406712;-25,526161;3,153600;20,473861
10,427910;1,265220;5,083132;-4,420212;-25,697881;3,157200;20,596703
10,946460;1,274400;5,132552;-4,433712;-25,870122;3,160800;20,719711
11,578837;1,283580;5,182325;-4,447212;-26,042885;3,164400;20,842887
12,185918;1,292760;5,232453;-4,460712;-26,216175;3,171600;20,966237
12,780353;1,301940;5,282937;-4,474212;-26,389997;3,175200;21,089761
13,324200;1,311120;5,333781;-4,488231;-26,564352;3,178800;21,213458
13,931280;1,320300;5,384985;-4,502250;-26,739247;3,186000;21,337336
14,588955;1,329480;5,436552;-4,516269;-26,914685;3,189600;21,461395
15,233978;1,339200;5,488484;-4,530288;-27,090670;3,193200;21,585635
15,879008;1,348380;5,540782;-4,544308;-27,267207;3,196800;21,710060
16,410203;1,358100;5,593451;-4,558846;-27,444299;3,204000;21,834673
17,004638;1,367820;5,646489;-4,573385;-27,621952;3,207600;21,959474
17,535833;1,377000;5,699901;-4,587923;-27,800168;3,214800;22,084466
18,180863;1,386720;5,753689;-4,602462;-27,978955;3,218400;22,209652
18,775298;1,396440;5,807855;-4,617519;-28,158314;3,222000;22,335034
19,395023;1,406700;5,862400;-4,632058;-28,338252;3,229200;22,460613
20,002110;1,416420;5,917327;-4,647115;-28,518773;3,232800;22,586394
20,583893;1,426140;5,972640;-4,662173;-28,699881;3,240000;22,712375
21,190980;1,436400;6,028339;-4,677750;-28,881583;3,243600;22,838564
21,810705;1,446120;6,084428;-4,693327;-29,063882;3,250800;22,964961
22,405140;1,456380;6,140909;-4,708904;-29,246783;3,254400;23,091570
22,986930;1,466640;6,197785;-4,724481;-29,430293;3,261600;23,218391
23,429595;1,476900;6,255057;-4,740058;-29,614414;3,265200;23,345427
24,125213;1,487160;6,312730;-4,756154;-29,799155;3,272400;23,472682
24,694350;1,497420;6,370804;-4,772250;-29,984519;3,276000;23,600157
25,250843;1,507680;6,429284;-4,788346;-30,170511;3,283200;23,727858
25,706153;1,518480;6,488172;-4,804962;-30,357138;3,290400;23,855783
26,072933;1,529280;6,547471;-4,821577;-30,544405;3,294000;23,983942
26,477655;1,539540;6,607182;-4,838192;-30,732318;3,301200;24,112330
26,857080;1,550340;6,667311;-4,854808;-30,920883;3,308400;24,240953
27,236513;1,561140;6,727858;-4,871942;-31,110104;3,312000;24,369814
27,565343;1,571940;6,788828;-4,889077;-31,299990;3,319200;24,498916
27,830947;1,583280;6,850224;-4,906212;-31,490544;3,326400;24,628263
28,223018;1,594080;6,912047;-4,923865;-31,681776;3,333600;24,757856
28,501268;1,605420;6,974303;-4,941519;-31,873689;3,337200;24,887700
28,817453;1,616760;7,036993;-4,959173;-32,066289;3,344400;25,017799
29,095703;1,627560;7,100122;-4,976827;-32,259586;3,351600;25,148154
29,298060;1,639440;7,163692;-4,995000;-32,453584;3,358800;25,278769
29,614253;1,650780;7,227708;-5,013692;-32,648290;3,366000;25,409646
29,879850;1,662120;7,292171;-5,031865;-32,843712;3,373200;25,540791
30,132802;1,674000;7,357087;-5,050558;-33,039856;3,380400;25,672209
30,360457;1,685880;7,422459;-5,069250;-33,236730;3,387600;25,803899
30,537518;1,697760;7,488289;-5,088462;-33,434340;3,394800;25,935866
30,803123;1,709640;7,554583;-5,107673;-33,632695;3,402000;26,068114
31,030778;1,721520;7,621344;-5,126885;-33,831801;3,409200;26,200648
31,245787;1,733940;7,688575;-5,146615;-34,031666;3,416400;26,333468
31,435500;1,745820;7,756281;-5,166346;-34,232298;3,423600;26,466582
31,637857;1,758240;7,824466;-5,186596;-34,433706;3,430800;26,599989
31,840223;1,770660;7,893134;-5,206846;-34,635897;3,438000;26,733698
32,029935;1,783080;7,962289;-5,227096;-34,838879;3,445200;26,867713
32,219648;1,796040;8,031935;-5,247865;-35,042661;3,456000;27,002038
32,396715;1,809000;8,102077;-5,268635;-35,247251;3,463200;27,136673
32,624370;1,821960;8,172719;-5,289923;-35,452659;3,470400;27,271627
32,801430;1,834920;8,243866;-5,311212;-35,658893;3,477600;27,406901
33,041738;1,847880;8,315523;-5,333019;-35,865962;3,488400;27,542501
33,256747;1,861380;8,387694;-5,354827;-36,073875;3,495600;27,678429
33,408517;1,874340;8,460384;-5,376635;-36,282642;3,502800;27,814693
33,547643;1,888380;8,533598;-5,398962;-36,492273;3,513600;27,951298
33,712058;1,901880;8,607341;-5,421808;-36,702777;3,520800;28,088245
33,927068;1,915380;8,681618;-5,444654;-36,914164;3,531600;28,225543
34,142077;1,929420;8,756434;-5,467500;-37,126445;3,538800;28,363195
34,369732;1,943460;8,831796;-5,490865;-37,339630;3,549600;28,501207
34,534148;1,958040;8,907707;-5,514750;-37,553730;3,560400;28,639580
34,647975;1,972080;8,984175;-5,538635;-37,768755;3,567600;28,778324
34,774455;1,986660;9,061205;-5,562519;-37,984718;3,578400;28,917444
35,040053;2,001240;9,138801;-5,587442;-38,201628;3,589200;29,056948
35,267708;2,016360;9,216972;-5,611846;-38,419498;3,600000;29,196834
35,381535;2,030940;9,295722;-5,637288;-38,638340;3,607200;29,337112
35,508007;2,046060;9,375058;-5,662731;-38,858165;3,618000;29,477789
35,710373;2,061720;9,454987;-5,688173;-39,078987;3,628800;29,618870
35,887440;2,076840;9,535513;-5,714654;-39,300817;3,639600;29,760359
35,988615;2,092500;9,616646;-5,741135;-39,523669;3,650400;29,902263
36,102443;2,108700;9,698391;-5,767615;-39,747555;3,661200;30,044595
36,266865;2,124360;9,780756;-5,794615;-39,972491;3,672000;30,187351
36,405990;2,140560;9,863747;-5,822135;-40,198489;3,682800;30,330544
36,481875;2,157300;9,947373;-5,850173;-40,425562;3,697200;30,474182
36,620993;2,173500;10,031640;-5,878212;-40,653728;3,708000;30,618266
36,734820;2,190780;10,116555;-5,906769;-40,882998;3,718800;30,762809
36,785415;2,207520;10,202129;-5,935846;-41,113391;3,729600;30,907814
36,924540;2,224800;10,288367;-5,965442;-41,344919;3,744000;31,053291
37,025715;2,242080;10,375279;-5,995038;-41,577600;3,754800;31,199249
37,088955;2,259900;10,462872;-6,025673;-41,811450;3,769200;31,345692
37,190137;2,277720;10,551158;-6,056308;-42,046486;3,780000;31,492631
37,278667;2,295540;10,640142;-6,087462;-42,282724;3,794400;31,640072
37,367198;2,313900;10,729836;-6,119135;-42,520183;3,808800;31,788025
37,468380;2,332800;10,820247;-6,150808;-42,758881;3,819600;31,936496
37,518975;2,351700;10,911387;-6,183519;-42,998835;3,834000;32,085498
37,620150;2,370600;11,003264;-6,216750;-43,240065;3,848400;32,235041
37,670745;2,390040;11,095890;-6,249981;-43,482591;3,862800;32,385129
37,771920;2,409480;11,189274;-6,284250;-43,726432;3,877200;32,535772
37,822515;2,429460;11,283427;-6,318519;-43,971610;3,891600;32,686984
37,923690;2,449440;11,378360;-6,353827;-44,218144;3,906000;32,838772
37,974285;2,469960;11,474086;-6,389654;-44,466057;3,920400;32,991144
38,075460;2,491020;11,570614;-6,426000;-44,715371;3,938400;33,144117
38,100758;2,511000;11,667956;-6,459750;-44,966106;3,952800;33,297700
38,176643;2,290140;11,762735;-5,880808;-45,209651;3,592800;33,446647
38,214585;1,650240;11,840774;-4,233808;-45,409886;2,584800;33,568993
38,277825;0,736020;11,886864;-1,888962;-45,528076;1,152000;33,641177
38,366355;0,163620;11,903048;-0,420577;-45,569578;0,255600;33,666526
38,442240;0,000000;11,904947;-0,000519;-45,574447;0,000000;33,669500
38,492835;0,000000;11,904947;-0,000519;-45,574447;0,000000;33,669500
38,556067;0,000000;11,904947;-0,000519;-45,574447;0,000000;33,669500
38,594010;0,000000;11,904947;0,000000;-45,574447;0,000000;33,669500
38,669902;0,000000;11,904947;0,000000;-45,574447;0,000000;33,669500
38,707845;0,000000;11,904947;0,000000;-45,574447;0,000000;33,669500
38,758433;0,000000;11,904947;0,000000;-45,574447;0,000000;33,669500
38,834317;0,000000;11,904947;0,000000;-45,574447;0,000000;33,669500
38,872260;0,000000;11,904947;0,000000;-45,574447;0,000000;33,669500
38,948145;0,000000;11,904947;0,000000;-45,574447;0,000000;33,669500
38,998732;0,000000;11,904947;0,000000;-45,574447;0,000000;33,669500
39,036675;0,000000;11,904947;0,000000;-45,574447;0,000000;33,669500
39,125212;0,000000;11,904947;0,000000;-45,574447;0,000000;33,669500
39,137858;0,000000;11,904947;0,000000;-45,574447;0,000000;33,669500
