;;;;;;Nacelle NC10...
;;;;;;- Tableau des résultats -
 n° point;Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);
154;    0,628196;   -1,955000;    0,628196;   -0,653000;
155;    0,632300;   -3,970000;    0,632300;    0,518000;
156;    0,636378;   -4,950000;    0,636378;    1,721000;
157;    0,640482;   -4,653000;    0,640482;    2,608000;
158;    0,644588;   -3,144000;    0,644588;    2,969000;
159;    0,648680;   -0,825000;    0,648680;    2,701000;
160;    0,652789;    1,717000;    0,652789;    1,909000;
161;    0,656912;    3,817000;    0,656912;    0,825000;
162;    0,660967;    4,907000;    0,660967;   -0,370000;
163;    0,665071;    4,741000;    0,665071;   -1,311000;
164;    0,669161;    3,348000;    0,669161;   -1,808000;
165;    0,673261;    1,084000;    0,673261;   -1,673000;
166;    0,677365;   -1,464000;    0,677365;   -1,026000;
167;    0,681468;   -3,631000;    0,681468;    0,075000;
168;    0,685553;   -4,851000;    0,685553;    1,254000;
169;    0,689654;   -4,818000;    0,689654;    2,216000;
170;    0,693733;   -3,543000;    0,693733;    2,707000;
171;    0,697836;   -1,343000;    0,697836;    2,606000;
172;    0,701939;    1,206000;    0,701939;    1,922000;
173;    0,706018;    3,431000;    0,706018;    0,858000;
174;    0,710150;    4,784000;    0,710150;   -0,317000;
175;    0,714229;    4,882000;    0,714229;   -1,333000;
176;    0,718323;    3,720000;    0,718323;   -1,902000;
177;    0,722426;    1,589000;    0,722426;   -1,835000;
178;    0,726514;   -0,946000;    0,726514;   -1,217000;
179;    0,730610;   -3,240000;    0,730610;   -0,202000;
180;    0,734714;   -4,697000;    0,734714;    0,967000;
181;    0,738791;   -4,934000;    0,738791;    1,944000;
182;    0,742877;   -3,901000;    0,742877;    2,457000;
183;    0,746985;   -1,850000;    0,746985;    2,403000;
184;    0,751054;    0,660000;    0,751054;    1,875000;
185;    0,755189;    3,034000;    0,755189;    0,934000;
186;    0,759271;    4,594000;    0,759271;   -0,153000;
187;    0,763410;    4,967000;    0,763410;   -1,175000;
188;    0,767472;    4,055000;    0,767472;   -1,774000;
189;    0,771562;    2,094000;    0,771562;   -1,815000;
190;    0,775670;   -0,420000;    0,775670;   -1,257000;
191;    0,779763;   -2,817000;    0,779763;   -0,225000;
192;    0,783839;   -4,480000;    0,783839;    1,017000;
193;    0,787941;   -4,992000;    0,787941;    2,201000;
194;    0,792040;   -4,208000;    0,792040;    2,946000;
195;    0,796152;   -2,325000;    0,796152;    3,171000;
196;    0,800234;    0,147000;    0,800234;    2,757000;
197;    0,804338;    2,592000;    0,804338;    1,817000;
198;    0,808440;    4,363000;    0,808440;    0,595000;
199;    0,812536;    5,000000;    0,812536;   -0,604000;
200;    0,816666;    4,330000;    0,816666;   -1,456000;
201;    0,820740;    2,551000;    0,820740;   -1,807000;
202;    0,824831;    0,106000;    0,824831;   -1,479000;
203;    0,828902;   -2,355000;    0,828902;   -0,723000;
204;    0,833002;   -4,222000;    0,833002;    0,378000;
205;    0,837160;   -4,995000;    0,837160;    1,388000;
206;    0,841196;   -4,470000;    0,841196;    2,115000;
207;    0,845297;   -2,786000;    0,845297;    2,300000;
208;    0,849401;   -0,376000;    0,849401;    1,991000;
209;    0,853478;    2,117000;    0,853478;    1,229000;
210;    0,857593;    4,079000;    0,857593;    0,209000;
211;    0,861682;    4,974000;    0,861682;   -0,802000;
212;    0,865759;    4,586000;    0,865759;   -1,695000;
213;    0,869864;    3,008000;    0,869864;   -2,083000;
214;    0,873967;    0,647000;    0,873967;   -1,886000;
215;    0,878044;   -1,866000;    0,878044;   -1,018000;
216;    0,882155;   -3,914000;    0,882155;    0,132000;
217;    0,886269;   -4,940000;    0,886269;    1,572000;
218;    0,890419;   -4,667000;    0,890419;    2,747000;
219;    0,894523;   -3,176000;    0,894523;    3,532000;
220;    0,898551;   -0,905000;    0,898551;    3,662000;
221;    0,902657;    1,639000;    0,902657;    3,181000;
222;    0,906731;    3,743000;    0,906731;    2,174000;
223;    0,910834;    4,891000;    0,910834;    1,018000;
224;    0,914937;    4,767000;    0,914937;    0,046000;
225;    0,919025;    3,411000;    0,919025;   -0,533000;
226;    0,923147;    1,153000;    0,923147;   -0,564000;
227;    0,927235;   -1,386000;    0,927235;   -0,039000;
228;    0,931314;   -3,564000;    0,931314;    0,862000;
229;    0,935416;   -4,830000;    0,935416;    2,008000;
230;    0,939521;   -4,840000;    0,939521;    2,952000;
231;    0,943598;   -3,602000;    0,943598;    3,526000;
232;    0,947703;   -1,423000;    0,947703;    3,414000;
233;    0,951805;    1,124000;    0,951805;    2,806000;
234;    0,955932;    3,391000;    0,955932;    1,726000;
235;    0,960014;    4,758000;    0,960014;    0,401000;
236;    0,964148;    4,893000;    0,964148;   -0,814000;
237;    0,968206;    3,769000;    0,968206;   -1,761000;
238;    0,972284;    1,673000;    0,972284;   -2,064000;
239;    0,976388;   -0,868000;    0,976388;   -1,853000;
240;    0,980497;   -3,186000;    0,980497;   -1,032000;
241;    0,984571;   -4,665000;    0,984571;   -0,061000;
242;    0,988676;   -4,945000;    0,988676;    1,077000;
243;    0,992753;   -3,949000;    0,992753;    1,910000;
