;;;;;;;;;;;;;;;;;;Nacelle NC10...
;;;;;;;;;;;;;;;;;;- Tableau des résultats -
 n° point;Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);
70;    0,285062;   20,000000;    0,285062;    5,060000;    0,283824;   20,000000;    0,283824;   10,712000;    0,284836;   20,000000;    0,284836;   17,706000;    0,285108;   20,000000;    0,285108;   23,537000;
71;    0,289168;   20,000000;    0,289168;    5,104000;    0,287897;   20,000000;    0,287897;   11,030000;    0,288942;   20,000000;    0,288942;   18,238000;    0,289240;   20,000000;    0,289240;   23,021000;
72;    0,293270;   20,000000;    0,293270;    5,143000;    0,292002;   20,000000;    0,292002;   11,368000;    0,293025;   20,000000;    0,293025;   18,913000;    0,293297;   20,000000;    0,293297;   22,485000;
73;    0,297347;   20,000000;    0,297347;    5,173000;    0,296104;   20,000000;    0,296104;   11,680000;    0,297132;   20,000000;    0,297132;   19,626000;    0,297401;   20,000000;    0,297401;   21,968000;
74;    0,301476;   20,000000;    0,301476;    5,185000;    0,300192;   20,000000;    0,300192;   11,950000;    0,301236;   20,000000;    0,301236;   20,299000;    0,301479;   20,000000;    0,301479;   21,508000;
75;    0,305548;   20,000000;    0,305548;    5,178000;    0,304293;   20,000000;    0,304293;   12,132000;    0,305376;   20,000000;    0,305376;   20,834000;    0,305631;   20,000000;    0,305631;   21,168000;
76;    0,309649;   20,000000;    0,309649;    5,139000;    0,308452;   20,000000;    0,308452;   12,216000;    0,309396;   20,000000;    0,309396;   21,198000;    0,309774;   20,000000;    0,309774;   20,955000;
77;    0,313756;   20,000000;    0,313756;    5,081000;    0,312482;   20,000000;    0,312482;   12,173000;    0,313497;   20,000000;    0,313497;   21,364000;    0,313843;   20,000000;    0,313843;   20,902000;
78;    0,317835;   20,000000;    0,317835;    5,009000;    0,316586;   20,000000;    0,316586;   12,027000;    0,317582;   20,000000;    0,317582;   21,337000;    0,317871;   20,000000;    0,317871;   21,004000;
79;    0,321995;   20,000000;    0,321995;    4,944000;    0,320662;   20,000000;    0,320662;   11,806000;    0,321712;   20,000000;    0,321712;   21,113000;    0,321974;   20,000000;    0,321974;   21,241000;
80;    0,326025;   20,000000;    0,326025;    4,888000;    0,324766;   20,000000;    0,324766;   11,542000;    0,325788;   20,000000;    0,325788;   20,736000;    0,326051;   20,000000;    0,326051;   21,563000;
81;    0,330127;   20,000000;    0,330127;    4,859000;    0,328900;   20,000000;    0,328900;   11,283000;    0,329864;   20,000000;    0,329864;   20,264000;    0,330155;   20,000000;    0,330155;   21,934000;
82;    0,334236;   20,000000;    0,334236;    4,850000;    0,332960;   20,000000;    0,332960;   11,062000;    0,334013;   20,000000;    0,334013;   19,727000;    0,334245;   20,000000;    0,334245;   22,314000;
83;    0,338310;   20,000000;    0,338310;    4,859000;    0,337068;   20,000000;    0,337068;   10,907000;    0,338079;   20,000000;    0,338079;   19,209000;    0,338349;   20,000000;    0,338349;   22,691000;
84;    0,342414;   20,000000;    0,342414;    4,876000;    0,341172;   20,000000;    0,341172;   10,814000;    0,342173;   20,000000;    0,342173;   18,771000;    0,342449;   20,000000;    0,342449;   23,046000;
85;    0,346516;   20,000000;    0,346516;    4,898000;    0,345244;   20,000000;    0,345244;   10,796000;    0,346277;   20,000000;    0,346277;   18,466000;    0,346527;   20,000000;    0,346527;   23,353000;
86;    0,350627;   20,000000;    0,350627;    4,920000;    0,349350;   20,000000;    0,349350;   10,837000;    0,350382;   20,000000;    0,350382;   18,312000;    0,350649;   20,000000;    0,350649;   23,601000;
