;;;;;;;;;;;;;;;;;;Nacelle NC10...
;;;;;;;;;;;;;;;;;;- Tableau des résultats -
 n° point;Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);
269;    1,100182;   20,000000;    1,100182;    4,963000;    1,094753;   20,000000;    1,094753;   11,280000;    1,100007;   20,000000;    1,100007;   19,473000;    1,100244;   20,000000;    1,100244;   22,633000;
270;    1,104260;   20,000000;    1,104260;    4,965000;    1,098921;   20,000000;    1,098921;   11,287000;    1,104040;   20,000000;    1,104040;   19,495000;    1,104319;   20,000000;    1,104319;   22,615000;
271;    1,108374;   20,000000;    1,108374;    4,968000;    1,102999;   20,000000;    1,102999;   11,296000;    1,108103;   20,000000;    1,108103;   19,520000;    1,108395;   20,000000;    1,108395;   22,597000;
272;    1,112444;   20,000000;    1,112444;    4,972000;    1,107023;   20,000000;    1,107023;   11,304000;    1,112219;   20,000000;    1,112219;   19,543000;    1,112474;   20,000000;    1,112474;   22,581000;
273;    1,116569;   20,000000;    1,116569;    4,973000;    1,111136;   20,000000;    1,111136;   11,311000;    1,116335;   20,000000;    1,116335;   19,562000;    1,116579;   20,000000;    1,116579;   22,568000;
274;    1,120642;   20,000000;    1,120642;    4,972000;    1,115205;   20,000000;    1,115205;   11,313000;    1,120438;   20,000000;    1,120438;   19,575000;    1,120685;   20,000000;    1,120685;   22,562000;
275;    1,124746;   20,000000;    1,124746;    4,967000;    1,119309;   20,000000;    1,119309;   11,311000;    1,124510;   20,000000;    1,124510;   19,584000;    1,124792;   20,000000;    1,124792;   22,568000;
276;    1,128853;   20,000000;    1,128853;    4,963000;    1,123445;   20,000000;    1,123445;   11,304000;    1,128621;   20,000000;    1,128621;   19,588000;    1,128863;   20,000000;    1,128863;   22,583000;
277;    1,132989;   20,000000;    1,132989;    4,958000;    1,127502;   20,000000;    1,127502;   11,295000;    1,132697;   20,000000;    1,132697;   19,588000;    1,132968;   20,000000;    1,132968;   22,606000;
278;    1,137058;   20,000000;    1,137058;    4,954000;    1,131602;   20,000000;    1,131602;   11,285000;    1,136797;   20,000000;    1,136797;   19,582000;    1,137072;   20,000000;    1,137072;   22,631000;
279;    1,141202;   20,000000;    1,141202;    4,954000;    1,135723;   20,000000;    1,135723;   11,276000;    1,140969;   20,000000;    1,140969;   19,570000;    1,141156;   20,000000;    1,141156;   22,655000;
280;    1,145351;   20,000000;    1,145351;    4,955000;    1,139805;   20,000000;    1,139805;   11,269000;    1,145020;   20,000000;    1,145020;   19,552000;    1,145363;   20,000000;    1,145363;   22,671000;
281;    1,149311;   20,000000;    1,149311;    4,957000;    1,143896;   20,000000;    1,143896;   11,265000;    1,149155;   20,000000;    1,149155;   19,528000;    1,149342;   20,000000;    1,149342;   22,679000;
282;    1,153448;   20,000000;    1,153448;    4,958000;    1,148000;   20,000000;    1,148000;   11,263000;    1,153172;   20,000000;    1,153172;   19,502000;    1,153442;   20,000000;    1,153442;   22,680000;
283;    1,157544;   20,000000;    1,157544;    4,958000;    1,152083;   20,000000;    1,152083;   11,262000;    1,157319;   20,000000;    1,157319;   19,480000;    1,157541;   20,000000;    1,157541;   22,675000;
284;    1,161630;   20,000000;    1,161630;    4,958000;    1,156220;   20,000000;    1,156220;   11,264000;    1,161375;   20,000000;    1,161375;   19,464000;    1,161626;   20,000000;    1,161626;   22,667000;
285;    1,165708;   20,000000;    1,165708;    4,959000;    1,160286;   20,000000;    1,160286;   11,266000;    1,165456;   20,000000;    1,165456;   19,458000;    1,165706;   20,000000;    1,165706;   22,655000;
286;    1,169807;   20,000000;    1,169807;    4,961000;    1,164369;   20,000000;    1,164369;   11,271000;    1,169549;   20,000000;    1,169549;   19,462000;    1,169807;   20,000000;    1,169807;   22,643000;
287;    1,173908;   20,000000;    1,173908;    4,964000;    1,168480;   20,000000;    1,168480;   11,278000;    1,173661;   20,000000;    1,173661;   19,474000;    1,173911;   20,000000;    1,173911;   22,629000;
288;    1,178085;   20,000000;    1,178085;    4,968000;    1,172617;   20,000000;    1,172617;   11,286000;    1,177752;   20,000000;    1,177752;   19,492000;    1,178002;   20,000000;    1,178002;   22,612000;
289;    1,182165;   20,000000;    1,182165;    4,969000;    1,176725;   20,000000;    1,176725;   11,294000;    1,181876;   20,000000;    1,181876;   19,511000;    1,182104;   20,000000;    1,182104;   22,595000;
290;    1,186278;   20,000000;    1,186278;    4,971000;    1,180828;   20,000000;    1,180828;   11,301000;    1,186010;   20,000000;    1,186010;   19,531000;    1,186235;   20,000000;    1,186235;   22,582000;
291;    1,190346;   20,000000;    1,190346;    4,969000;    1,184915;   20,000000;    1,184915;   11,305000;    1,190044;   20,000000;    1,190044;   19,548000;    1,190292;   20,000000;    1,190292;   22,573000;
292;    1,194454;   20,000000;    1,194454;    4,965000;    1,188949;   20,000000;    1,188949;   11,304000;    1,194148;   20,000000;    1,194148;   19,564000;    1,194368;   20,000000;    1,194368;   22,570000;
293;    1,198559;   20,000000;    1,198559;    4,961000;    1,193024;   20,000000;    1,193024;   11,300000;    1,198252;   20,000000;    1,198252;   19,576000;    1,198484;   20,000000;    1,198484;   22,577000;
294;    1,202568;   20,000000;    1,202568;    4,957000;    1,197124;   20,000000;    1,197124;   11,293000;    1,202400;   20,000000;    1,202400;   19,583000;    1,202579;   20,000000;    1,202579;   22,591000;
295;    1,206667;   20,000000;    1,206667;    4,955000;    1,201228;   20,000000;    1,201228;   11,284000;    1,206434;   20,000000;    1,206434;   19,583000;    1,204588;   20,000000;    1,204588;   22,609000;
296;    1,210773;   20,000000;    1,210773;    4,955000;    1,205337;   20,000000;    1,205337;   11,276000;    1,210509;   20,000000;    1,210509;   19,577000;    1,207705;   20,000000;    1,207705;   22,626000;
297;    1,214859;   20,000000;    1,214859;    4,954000;    1,209443;   20,000000;    1,209443;   11,270000;    1,214609;   20,000000;    1,214609;   19,561000;    1,210754;   20,000000;    1,210754;   22,641000;
298;    1,218988;   20,000000;    1,218988;    4,955000;    1,213525;   20,000000;    1,213525;   11,266000;    1,218712;   20,000000;    1,218712;   19,539000;    1,214860;   20,000000;    1,214860;   22,650000;
299;    1,223044;   20,000000;    1,223044;    4,955000;    1,217636;   20,000000;    1,217636;   11,262000;    1,222816;   20,000000;    1,222816;   19,513000;    1,218937;   20,000000;    1,218937;   22,656000;
300;    1,227120;   20,000000;    1,227120;    4,954000;    1,221776;   20,000000;    1,221776;   11,261000;    1,226921;   20,000000;    1,226921;   19,489000;    1,223042;   20,000000;    1,223042;   22,656000;
301;    1,231241;   20,000000;    1,231241;    4,954000;    1,225884;   20,000000;    1,225884;   11,259000;    1,230993;   20,000000;    1,230993;   19,469000;    1,227121;   20,000000;    1,227121;   22,655000;
302;    1,235409;   20,000000;    1,235409;    4,956000;    1,229968;   20,000000;    1,229968;   11,260000;    1,235116;   20,000000;    1,235116;   19,458000;    1,231229;   20,000000;    1,231229;   22,651000;
303;    1,239480;   20,000000;    1,239480;    4,958000;    1,234059;   20,000000;    1,234059;   11,263000;    1,239199;   20,000000;    1,239199;   19,457000;    1,235312;   20,000000;    1,235312;   22,645000;
304;    1,243523;   20,000000;    1,243523;    4,961000;    1,238171;   20,000000;    1,238171;   11,268000;    1,243294;   20,000000;    1,243294;   19,466000;    1,239426;   20,000000;    1,239426;   22,636000;
305;    1,247598;   20,000000;    1,247598;    4,963000;    1,242269;   20,000000;    1,242269;   11,275000;    1,247375;   20,000000;    1,247375;   19,480000;    1,243525;   20,000000;    1,243525;   22,623000;
306;    1,251702;   20,000000;    1,251702;    4,965000;    1,246352;   20,000000;    1,246352;   11,283000;    1,251475;   20,000000;    1,251475;   19,496000;    1,247628;   20,000000;    1,247628;   22,608000;
307;    1,255840;   20,000000;    1,255840;    4,965000;    1,250451;   20,000000;    1,250451;   11,290000;    1,255602;   20,000000;    1,255602;   19,512000;    1,251709;   20,000000;    1,251709;   22,592000;
308;    1,259880;   20,000000;    1,259880;    4,963000;    1,254520;   20,000000;    1,254520;   11,295000;    1,259656;   20,000000;    1,259656;   19,526000;    1,255831;   20,000000;    1,255831;   22,580000;
309;    1,263995;   20,000000;    1,263995;    4,962000;    1,258578;   20,000000;    1,258578;   11,297000;    1,263762;   20,000000;    1,263762;   19,538000;    1,259915;   20,000000;    1,259915;   22,572000;
310;    1,268067;   20,000000;    1,268067;    4,958000;    1,262681;   20,000000;    1,262681;   11,295000;    1,267868;   20,000000;    1,267868;   19,548000;    1,263995;   20,000000;    1,263995;   22,573000;
311;    1,270091;   20,000000;    1,270091;    4,956000;    1,266760;   20,000000;    1,266760;   11,291000;    1,272008;   20,000000;    1,272008;   19,557000;    1,268087;   20,000000;    1,268087;   22,580000;
312;    1,276278;   20,000000;    1,276278;    4,954000;    1,270871;   20,000000;    1,270871;   11,285000;    1,276061;   20,000000;    1,276061;   19,563000;    1,272345;   20,000000;    1,272345;   22,592000;
313;    1,278271;   20,000000;    1,278271;    4,953000;    1,274966;   20,000000;    1,274966;   11,279000;    1,280162;   20,000000;    1,280162;   19,565000;    1,276365;   20,000000;    1,276365;   22,606000;
314;    1,281275;   20,000000;    1,281275;    4,953000;    1,279086;   20,000000;    1,279086;   11,272000;    1,284240;   20,000000;    1,284240;   19,560000;    1,280511;   20,000000;    1,280511;   22,619000;
315;    1,284428;   20,000000;    1,284428;    4,953000;    1,283258;   20,000000;    1,283258;   11,267000;    1,288345;   20,000000;    1,288345;   19,548000;    1,284545;   20,000000;    1,284545;   22,629000;
316;    1,288537;   20,000000;    1,288537;    4,954000;    1,287360;   20,000000;    1,287360;   11,262000;    1,292420;   20,000000;    1,292420;   19,531000;    1,288692;   20,000000;    1,288692;   22,637000;
317;    1,292635;   20,000000;    1,292635;    4,953000;    1,291439;   20,000000;    1,291439;   11,258000;    1,296526;   20,000000;    1,296526;   19,510000;    1,292753;   20,000000;    1,292753;   22,642000;
318;    1,296740;   20,000000;    1,296740;    4,953000;    1,295476;   20,000000;    1,295476;   11,256000;    1,300629;   20,000000;    1,300629;   19,490000;    1,296873;   20,000000;    1,296873;   22,645000;
319;    1,300822;   20,000000;    1,300822;    4,953000;    1,299563;   20,000000;    1,299563;   11,255000;    1,304712;   20,000000;    1,304712;   19,475000;    1,300942;   20,000000;    1,300942;   22,646000;
320;    1,304982;   20,000000;    1,304982;    4,954000;    1,303654;   20,000000;    1,303654;   11,256000;    1,308812;   20,000000;    1,308812;   19,465000;    1,304970;   20,000000;    1,304970;   22,643000;
321;    1,309012;   20,000000;    1,309012;    4,956000;    1,307757;   20,000000;    1,307757;   11,259000;    1,312919;   20,000000;    1,312919;   19,460000;    1,309045;   20,000000;    1,309045;   22,637000;
322;    1,313117;   20,000000;    1,313117;    4,957000;    1,311860;   20,000000;    1,311860;   11,265000;    1,316995;   20,000000;    1,316995;   19,463000;    1,313186;   20,000000;    1,313186;   22,628000;
323;    1,317222;   20,000000;    1,317222;    4,960000;    1,315941;   20,000000;    1,315941;   11,271000;    1,321111;   20,000000;    1,321111;   19,469000;    1,317228;   20,000000;    1,317228;   22,615000;
324;    1,321298;   20,000000;    1,321298;    4,961000;    1,320041;   20,000000;    1,320041;   11,278000;    1,325188;   20,000000;    1,325188;   19,480000;    1,321384;   20,000000;    1,321384;   22,601000;
325;    1,325412;   20,000000;    1,325412;    4,961000;    1,324146;   20,000000;    1,324146;   11,283000;    1,329292;   20,000000;    1,329292;   19,493000;    1,325444;   20,000000;    1,325444;   22,588000;
326;    1,329484;   20,000000;    1,329484;    4,960000;    1,328245;   20,000000;    1,328245;   11,285000;    1,333372;   20,000000;    1,333372;   19,507000;    1,329524;   20,000000;    1,329524;   22,579000;
327;    1,333587;   20,000000;    1,333587;    4,959000;    1,332341;   20,000000;    1,332341;   11,285000;    1,337473;   20,000000;    1,337473;   19,523000;    1,333634;   20,000000;    1,333634;   22,575000;
328;    1,337687;   20,000000;    1,337687;    4,957000;    1,336449;   20,000000;    1,336449;   11,282000;    1,341578;   20,000000;    1,341578;   19,540000;    1,337732;   20,000000;    1,337732;   22,577000;
329;    1,341769;   20,000000;    1,341769;    4,955000;    1,340532;   20,000000;    1,340532;   11,279000;    1,345659;   20,000000;    1,345659;   19,552000;    1,341809;   20,000000;    1,341809;   22,585000;
330;    1,345870;   20,000000;    1,345870;    4,954000;    1,344634;   20,000000;    1,344634;   11,275000;    1,349764;   20,000000;    1,349764;   19,559000;    1,345912;   20,000000;    1,345912;   22,594000;
331;    1,349983;   20,000000;    1,349983;    4,953000;    1,348740;   20,000000;    1,348740;   11,269000;    1,353867;   20,000000;    1,353867;   19,560000;    1,349995;   20,000000;    1,349995;   22,604000;
332;    1,354064;   20,000000;    1,354064;    4,952000;    1,352828;   20,000000;    1,352828;   11,266000;    1,358018;   20,000000;    1,358018;   19,551000;    1,354098;   20,000000;    1,354098;   22,613000;
333;    1,358184;   20,000000;    1,358184;    4,952000;    1,356944;   20,000000;    1,356944;   11,262000;    1,362037;   20,000000;    1,362037;   19,535000;    1,358244;   20,000000;    1,358244;   22,620000;
334;    1,362273;   20,000000;    1,362273;    4,949000;    1,361088;   20,000000;    1,361088;   11,258000;    1,366141;   20,000000;    1,366141;   19,515000;    1,362281;   20,000000;    1,362281;   22,625000;
335;    1,366353;   20,000000;    1,366353;    4,948000;    1,365169;   20,000000;    1,365169;   11,255000;    1,370240;   20,000000;    1,370240;   19,493000;    1,366389;   20,000000;    1,366389;   22,631000;
336;    1,370454;   20,000000;    1,370454;    4,948000;    1,369285;   20,000000;    1,369285;   11,252000;    1,374317;   20,000000;    1,374317;   19,475000;    1,370488;   20,000000;    1,370488;   22,634000;
337;    1,374535;   20,000000;    1,374535;    4,948000;    1,373288;   20,000000;    1,373288;   11,251000;    1,378424;   20,000000;    1,378424;   19,461000;    1,374565;   20,000000;    1,374565;   22,636000;
338;    1,378639;   20,000000;    1,378639;    4,951000;    1,377442;   20,000000;    1,377442;   11,251000;    1,382525;   20,000000;    1,382525;   19,454000;    1,378673;   20,000000;    1,378673;   22,635000;
339;    1,382733;   20,000000;    1,382733;    4,953000;    1,381471;   20,000000;    1,381471;   11,254000;    1,386603;   20,000000;    1,386603;   19,454000;    1,382774;   20,000000;    1,382774;   22,631000;
340;    1,386842;   20,000000;    1,386842;    4,955000;    1,385577;   20,000000;    1,385577;   11,259000;    1,390705;   20,000000;    1,390705;   19,459000;    1,386856;   20,000000;    1,386856;   22,622000;
341;    1,390980;   20,000000;    1,390980;    4,956000;    1,389665;   20,000000;    1,389665;   11,264000;    1,394793;   20,000000;    1,394793;   19,467000;    1,390963;   20,000000;    1,390963;   22,610000;
342;    1,395041;   20,000000;    1,395041;    4,958000;    1,393758;   20,000000;    1,393758;   11,269000;    1,398898;   20,000000;    1,398898;   19,478000;    1,395081;   20,000000;    1,395081;   22,597000;
343;    1,399142;   20,000000;    1,399142;    4,957000;    1,397861;   20,000000;    1,397861;   11,273000;    1,403001;   20,000000;    1,403001;   19,491000;    1,399148;   20,000000;    1,399148;   22,585000;
344;    1,403218;   20,000000;    1,403218;    4,956000;    1,401984;   20,000000;    1,401984;   11,275000;    1,407082;   20,000000;    1,407082;   19,504000;    1,403264;   20,000000;    1,403264;   22,577000;
345;    1,407322;   20,000000;    1,407322;    4,955000;    1,406153;   20,000000;    1,406153;   11,276000;    1,411189;   20,000000;    1,411189;   19,516000;    1,407342;   20,000000;    1,407342;   22,575000;
346;    1,411429;   20,000000;    1,411429;    4,954000;    1,410227;   20,000000;    1,410227;   11,275000;    1,413210;   20,000000;    1,413210;   19,527000;    1,411444;   20,000000;    1,411444;   22,577000;
347;    1,415505;   20,000000;    1,415505;    4,953000;    1,414330;   20,000000;    1,414330;   11,272000;    1,416189;   20,000000;    1,416189;   19,535000;    1,415547;   20,000000;    1,415547;   22,584000;
348;    1,419612;   20,000000;    1,419612;    4,953000;    1,418440;   20,000000;    1,418440;   11,269000;    1,419368;   20,000000;    1,419368;   19,539000;    1,419631;   20,000000;    1,419631;   22,591000;
349;    1,423686;   20,000000;    1,423686;    4,952000;    1,422448;   20,000000;    1,422448;   11,266000;    1,423449;   20,000000;    1,423449;   19,537000;    1,423729;   20,000000;    1,423729;   22,599000;
350;    1,427794;   20,000000;    1,427794;    4,951000;    1,426524;   20,000000;    1,426524;   11,262000;    1,427572;   20,000000;    1,427572;   19,530000;    1,427838;   20,000000;    1,427838;   22,606000;
351;    1,431899;   20,000000;    1,431899;    4,950000;    1,430626;   20,000000;    1,430626;   11,257000;    1,431672;   20,000000;    1,431672;   19,519000;    1,431915;   20,000000;    1,431915;   22,613000;
352;    1,435980;   20,000000;    1,435980;    4,949000;    1,434728;   20,000000;    1,434728;   11,252000;    1,435745;   20,000000;    1,435745;   19,505000;    1,436010;   20,000000;    1,436010;   22,618000;
353;    1,440087;   20,000000;    1,440087;    4,947000;    1,438837;   20,000000;    1,438837;   11,248000;    1,439850;   20,000000;    1,439850;   19,491000;    1,440115;   20,000000;    1,440115;   22,622000;
354;    1,444192;   20,000000;    1,444192;    4,947000;    1,442911;   20,000000;    1,442911;   11,246000;    1,444009;   20,000000;    1,444009;   19,477000;    1,444225;   20,000000;    1,444225;   22,626000;
355;    1,448269;   20,000000;    1,448269;    4,947000;    1,447017;   20,000000;    1,447017;   11,246000;    1,448040;   20,000000;    1,448040;   19,467000;    1,448310;   20,000000;    1,448310;   22,626000;
356;    1,452374;   20,000000;    1,452374;    4,949000;    1,451094;   20,000000;    1,451094;   11,248000;    1,452124;   20,000000;    1,452124;   19,458000;    1,452387;   20,000000;    1,452387;   22,622000;
357;    1,456470;   20,000000;    1,456470;    4,951000;    1,455248;   20,000000;    1,455248;   11,252000;    1,456240;   20,000000;    1,456240;   19,453000;    1,456507;   20,000000;    1,456507;   22,616000;
358;    1,460560;   20,000000;    1,460560;    4,954000;    1,459304;   20,000000;    1,459304;   11,257000;    1,460321;   20,000000;    1,460321;   19,451000;    1,460607;   20,000000;    1,460607;   22,607000;
359;    1,464664;   20,000000;    1,464664;    4,955000;    1,463440;   20,000000;    1,463440;   11,262000;    1,464427;   20,000000;    1,464427;   19,454000;    1,464670;   20,000000;    1,464670;   22,597000;
360;    1,468767;   20,000000;    1,468767;    4,955000;    1,467512;   20,000000;    1,467512;   11,265000;    1,468531;   20,000000;    1,468531;   19,463000;    1,468777;   20,000000;    1,468777;   22,588000;
361;    1,472847;   20,000000;    1,472847;    4,953000;    1,471610;   20,000000;    1,471610;   11,266000;    1,472609;   20,000000;    1,472609;   19,476000;    1,472882;   20,000000;    1,472882;   22,581000;
362;    1,476979;   20,000000;    1,476979;    4,950000;    1,475677;   20,000000;    1,475677;   11,266000;    1,476713;   20,000000;    1,476713;   19,492000;    1,476980;   20,000000;    1,476980;   22,577000;
363;    1,481035;   20,000000;    1,481035;    4,949000;    1,479814;   20,000000;    1,479814;   11,266000;    1,480827;   20,000000;    1,480827;   19,510000;    1,481058;   20,000000;    1,481058;   22,575000;
364;    1,485146;   20,000000;    1,485146;    4,949000;    1,483878;   20,000000;    1,483878;   11,266000;    1,484975;   20,000000;    1,484975;   19,524000;    1,485224;   20,000000;    1,485224;   22,576000;
365;    1,489262;   20,000000;    1,489262;    4,950000;    1,488006;   20,000000;    1,488006;   11,265000;    1,489080;   20,000000;    1,489080;   19,535000;    1,489258;   20,000000;    1,489258;   22,578000;
366;    1,493332;   20,000000;    1,493332;    4,951000;    1,492075;   20,000000;    1,492075;   11,263000;    1,493092;   20,000000;    1,493092;   19,538000;    1,493357;   20,000000;    1,493357;   22,582000;
367;    1,497434;   20,000000;    1,497434;    4,951000;    1,496181;   20,000000;    1,496181;   11,261000;    1,497188;   20,000000;    1,497188;   19,535000;    1,497434;   20,000000;    1,497434;   22,586000;
368;    1,501547;   20,000000;    1,501547;    4,949000;    1,500288;   20,000000;    1,500288;   11,258000;    1,501290;   20,000000;    1,501290;   19,525000;    1,501537;   20,000000;    1,501537;   22,591000;
369;    1,505610;   20,000000;    1,505610;    4,947000;    1,504365;   20,000000;    1,504365;   11,253000;    1,505373;   20,000000;    1,505373;   19,511000;    1,505642;   20,000000;    1,505642;   22,597000;
370;    1,509714;   20,000000;    1,509714;    4,945000;    1,508476;   20,000000;    1,508476;   11,248000;    1,509475;   20,000000;    1,509475;   19,495000;    1,509748;   20,000000;    1,509748;   22,604000;
371;    1,513819;   20,000000;    1,513819;    4,943000;    1,512553;   20,000000;    1,512553;   11,243000;    1,513544;   20,000000;    1,513544;   19,480000;    1,513826;   20,000000;    1,513826;   22,610000;
372;    1,517902;   20,000000;    1,517902;    4,943000;    1,516736;   20,000000;    1,516736;   11,241000;    1,517652;   20,000000;    1,517652;   19,467000;    1,517928;   20,000000;    1,517928;   22,614000;
373;    1,522012;   20,000000;    1,522012;    4,944000;    1,520827;   20,000000;    1,520827;   11,240000;    1,521761;   20,000000;    1,521761;   19,457000;    1,522041;   20,000000;    1,522041;   22,614000;
374;    1,526088;   20,000000;    1,526088;    4,946000;    1,524911;   20,000000;    1,524911;   11,242000;    1,525862;   20,000000;    1,525862;   19,451000;    1,526116;   20,000000;    1,526116;   22,611000;
375;    1,530190;   20,000000;    1,530190;    4,948000;    1,528921;   20,000000;    1,528921;   11,245000;    1,529999;   20,000000;    1,529999;   19,449000;    1,530223;   20,000000;    1,530223;   22,604000;
376;    1,534295;   20,000000;    1,534295;    4,950000;    1,533026;   20,000000;    1,533026;   11,250000;    1,534057;   20,000000;    1,534057;   19,452000;    1,534303;   20,000000;    1,534303;   22,595000;
377;    1,538374;   20,000000;    1,538374;    4,951000;    1,537120;   20,000000;    1,537120;   11,254000;    1,538134;   20,000000;    1,538134;   19,458000;    1,538409;   20,000000;    1,538409;   22,587000;
378;    1,542482;   20,000000;    1,542482;    4,951000;    1,541228;   20,000000;    1,541228;   11,257000;    1,542236;   20,000000;    1,542236;   19,469000;    1,542485;   20,000000;    1,542485;   22,578000;
379;    1,546581;   20,000000;    1,546581;    4,951000;    1,545310;   20,000000;    1,545310;   11,259000;    1,546339;   20,000000;    1,546339;   19,481000;    1,546588;   20,000000;    1,546588;   22,573000;
380;    1,550666;   20,000000;    1,550666;    4,950000;    1,549443;   20,000000;    1,549443;   11,260000;    1,550417;   20,000000;    1,550417;   19,494000;    1,550701;   20,000000;    1,550701;   22,570000;
381;    1,554784;   20,000000;    1,554784;    4,949000;    1,553495;   20,000000;    1,553495;   11,260000;    1,554563;   20,000000;    1,554563;   19,505000;    1,554823;   20,000000;    1,554823;   22,569000;
382;    1,558867;   20,000000;    1,558867;    4,950000;    1,557637;   20,000000;    1,557637;   11,260000;    1,558610;   20,000000;    1,558610;   19,513000;    1,558880;   20,000000;    1,558880;   22,569000;
383;    1,562979;   20,000000;    1,562979;    4,949000;    1,561782;   20,000000;    1,561782;   11,260000;    1,562705;   20,000000;    1,562705;   19,517000;    1,562978;   20,000000;    1,562978;   22,572000;
384;    1,567035;   20,000000;    1,567035;    4,947000;    1,565861;   20,000000;    1,565861;   11,257000;    1,566813;   20,000000;    1,566813;   19,517000;    1,567083;   20,000000;    1,567083;   22,574000;
385;    1,571138;   20,000000;    1,571138;    4,946000;    1,569965;   20,000000;    1,569965;   11,255000;    1,570917;   20,000000;    1,570917;   19,512000;    1,571223;   20,000000;    1,571223;   22,578000;
386;    1,575242;   20,000000;    1,575242;    4,944000;    1,574069;   20,000000;    1,574069;   11,252000;    1,574997;   20,000000;    1,574997;   19,506000;    1,575251;   20,000000;    1,575251;   22,584000;
387;    1,579346;   20,000000;    1,579346;    4,944000;    1,578142;   20,000000;    1,578142;   11,248000;    1,579107;   20,000000;    1,579107;   19,498000;    1,579353;   20,000000;    1,579353;   22,589000;
388;    1,583427;   20,000000;    1,583427;    4,943000;    1,582201;   20,000000;    1,582201;   11,244000;    1,583189;   20,000000;    1,583189;   19,488000;    1,583476;   20,000000;    1,583476;   22,595000;
389;    1,587536;   20,000000;    1,587536;    4,943000;    1,586285;   20,000000;    1,586285;   11,240000;    1,587288;   20,000000;    1,587288;   19,478000;    1,587567;   20,000000;    1,587567;   22,600000;
390;    1,591631;   20,000000;    1,591631;    4,945000;    1,590445;   20,000000;    1,590445;   11,239000;    1,591391;   20,000000;    1,591391;   19,467000;    1,591642;   20,000000;    1,591642;   22,603000;
391;    1,595717;   20,000000;    1,595717;    4,947000;    1,594474;   20,000000;    1,594474;   11,239000;    1,595495;   20,000000;    1,595495;   19,457000;    1,595744;   20,000000;    1,595744;   22,603000;
392;    1,599816;   20,000000;    1,599816;    4,948000;    1,598553;   20,000000;    1,598553;   11,241000;    1,599590;   20,000000;    1,599590;   19,448000;    1,599828;   20,000000;    1,599828;   22,600000;
393;    1,603977;   20,000000;    1,603977;    4,949000;    1,602694;   20,000000;    1,602694;   11,243000;    1,603691;   20,000000;    1,603691;   19,441000;    1,603931;   20,000000;    1,603931;   22,593000;
394;    1,608007;   20,000000;    1,608007;    4,950000;    1,606761;   20,000000;    1,606761;   11,246000;    1,607766;   20,000000;    1,607766;   19,440000;    1,608036;   20,000000;    1,608036;   22,586000;
395;    1,612115;   20,000000;    1,612115;    4,950000;    1,610907;   20,000000;    1,610907;   11,249000;    1,611871;   20,000000;    1,611871;   19,445000;    1,612138;   20,000000;    1,612138;   22,577000;
396;    1,616195;   20,000000;    1,616195;    4,949000;    1,615006;   20,000000;    1,615006;   11,251000;    1,616057;   20,000000;    1,616057;   19,454000;    1,616324;   20,000000;    1,616324;   22,570000;
397;    1,620294;   20,000000;    1,620294;    4,948000;    1,619128;   20,000000;    1,619128;   11,253000;    1,620057;   20,000000;    1,620057;   19,467000;    1,620309;   20,000000;    1,620309;   22,564000;
398;    1,624401;   20,000000;    1,624401;    4,948000;    1,623159;   20,000000;    1,623159;   11,254000;    1,624162;   20,000000;    1,624162;   19,481000;    1,624440;   20,000000;    1,624440;   22,561000;
399;    1,628503;   20,000000;    1,628503;    4,948000;    1,627222;   20,000000;    1,627222;   11,255000;    1,628263;   20,000000;    1,628263;   19,494000;    1,628513;   20,000000;    1,628513;   22,560000;
400;    1,632586;   20,000000;    1,632586;    4,948000;    1,631331;   20,000000;    1,631331;   11,255000;    1,632340;   20,000000;    1,632340;   19,503000;    1,632647;   20,000000;    1,632647;   22,562000;
401;    1,636687;   20,000000;    1,636687;    4,947000;    1,635440;   20,000000;    1,635440;   11,255000;    1,636444;   20,000000;    1,636444;   19,508000;    1,636694;   20,000000;    1,636694;   22,566000;
402;    1,640786;   20,000000;    1,640786;    4,946000;    1,639498;   20,000000;    1,639498;   11,253000;    1,640521;   20,000000;    1,640521;   19,508000;    1,640831;   20,000000;    1,640831;   22,571000;
403;    1,644884;   20,000000;    1,644884;    4,944000;    1,643604;   20,000000;    1,643604;   11,249000;    1,644625;   20,000000;    1,644625;   19,504000;    1,644904;   20,000000;    1,644904;   22,576000;
404;    1,648988;   20,000000;    1,648988;    4,942000;    1,647728;   20,000000;    1,647728;   11,246000;    1,648734;   20,000000;    1,648734;   19,495000;    1,649043;   20,000000;    1,649043;   22,582000;
405;    1,653070;   20,000000;    1,653070;    4,941000;    1,651822;   20,000000;    1,651822;   11,241000;    1,652833;   20,000000;    1,652833;   19,485000;    1,653085;   20,000000;    1,653085;   22,587000;
406;    1,657188;   20,000000;    1,657188;    4,941000;    1,656010;   20,000000;    1,656010;   11,237000;    1,656937;   20,000000;    1,656937;   19,473000;    1,657269;   20,000000;    1,657269;   22,590000;
407;    1,661254;   20,000000;    1,661254;    4,942000;    1,660068;   20,000000;    1,660068;   11,233000;    1,661019;   20,000000;    1,661019;   19,462000;    1,661306;   20,000000;    1,661306;   22,592000;
