;;;;;;Nacelle NC10...
;;;;;;- Tableau des résultats -
 n° point;Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);
235;    0,959545;    0,634000;    0,959545;    0,471000;
236;    0,963647;    0,570000;    0,963647;    0,392000;
237;    0,967727;    0,506000;    0,967727;    0,307000;
238;    0,971862;    0,441000;    0,971862;    0,222000;
239;    0,975937;    0,378000;    0,975937;    0,137000;
240;    0,980021;    0,314000;    0,980021;    0,049000;
241;    0,984182;    0,248000;    0,984182;   -0,034000;
242;    0,988211;    0,185000;    0,988211;   -0,125000;
243;    0,992313;    0,121000;    0,992313;   -0,220000;
244;    0,996414;    0,056000;    0,996414;   -0,317000;
245;    1,000496;   -0,008000;    1,000496;   -0,416000;
246;    1,004596;   -0,072000;    1,004596;   -0,518000;
247;    1,008702;   -0,137000;    1,008702;   -0,617000;
248;    1,012781;   -0,201000;    1,012781;   -0,702000;
249;    1,016890;   -0,265000;    1,016890;   -0,771000;
250;    1,020989;   -0,329000;    1,020989;   -0,818000;
251;    1,025065;   -0,393000;    1,025065;   -0,862000;
252;    1,029188;   -0,458000;    1,029188;   -0,902000;
253;    1,033285;   -0,522000;    1,033285;   -0,939000;
254;    1,037362;   -0,586000;    1,037362;   -0,974000;
255;    1,041467;   -0,650000;    1,041467;   -1,010000;
256;    1,045547;   -0,713000;    1,045547;   -1,040000;
257;    1,049652;   -0,777000;    1,049652;   -1,066000;
258;    1,053751;   -0,840000;    1,053751;   -1,100000;
259;    1,057834;   -0,903000;    1,057834;   -1,142000;
260;    1,061960;   -0,967000;    1,061960;   -1,205000;
261;    1,066038;   -1,030000;    1,066038;   -1,279000;
262;    1,070176;   -1,093000;    1,070176;   -1,363000;
263;    1,074232;   -1,155000;    1,074232;   -1,457000;
264;    1,078338;   -1,218000;    1,078338;   -1,568000;
265;    1,082439;   -1,281000;    1,082439;   -1,680000;
266;    1,086517;   -1,342000;    1,086517;   -1,782000;
267;    1,090626;   -1,404000;    1,090626;   -1,867000;
268;    1,094726;   -1,466000;    1,094726;   -1,939000;
269;    1,098806;   -1,527000;    1,098806;   -1,997000;
270;    1,102939;   -1,589000;    1,102939;   -2,044000;
271;    1,107011;   -1,649000;    1,107011;   -2,080000;
272;    1,111177;   -1,711000;    1,111177;   -2,101000;
273;    1,115233;   -1,771000;    1,115233;   -2,101000;
